,station_status,last_reported,is_returning,is_renting,num_docks_disabled,num_bikes_disabled,num_docks_available,station_id,num_bikes_available,is_installed,num_ebikes_available,eightd_has_available_keys,legacy_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
413,active,1605138332,1,1,0,2,9,3241,8,1,1,False,3241,,,1605139205,1605139205,0,0
414,active,1605138995,1,1,0,1,22,3242,16,1,0,False,3242,,,1605139205,1605139205,1,0
415,active,1605138693,1,1,0,0,24,3243,5,1,0,False,3243,,,1605139205,1605139205,0,0
416,active,1605138838,1,1,0,2,15,3244,25,1,2,False,3244,,,1605139205,1605139205,0,2
417,active,1605136149,1,1,0,0,34,3246,5,1,2,False,3246,,,1605139205,1605139205,0,0
418,active,1605135807,1,1,0,0,17,3249,2,1,1,False,3249,,,1605139205,1605139205,0,0
419,active,1605139113,1,1,0,2,3,3255,13,1,8,False,3255,"{'region': 'BKN', 'valet_revision': 24740, 'off_dock_count': 22, 'active': True, 'dock_blocked_count': 0, 'station_id': '66ddbd20-0aca-11e7-82f6-3863bb44ef7c', 'off_dock_capacity': 70}",[{'id': '66ddbd20-0aca-11e7-82f6-3863bb44ef7c'}],1605139205,1605139205,0,2
420,active,1605139157,1,1,0,1,9,3256,13,1,1,False,3256,,,1605139205,1605139205,2,0
421,active,1605138302,1,1,0,2,18,3259,7,1,1,False,3259,,,1605139205,1605139205,0,3
422,active,1605138588,1,1,0,1,21,3260,23,1,1,False,3260,,,1605139205,1605139205,1,0
423,active,1605137793,1,1,0,1,36,3263,22,1,0,False,3263,,,1605139205,1605139205,0,3
424,active,1605138156,1,1,0,0,13,3267,1,1,0,False,3267,,,1605139205,1605139205,0,0
425,active,1605131833,1,1,0,0,4,3268,10,1,0,False,3268,,,1605139205,1605139205,1,0
426,active,1605135347,1,1,0,0,4,3269,10,1,0,False,3269,,,1605139205,1605139205,1,0
427,active,1605120832,1,1,0,0,3,3270,11,1,0,False,3270,,,1605139205,1605139205,0,0
428,active,1605132489,1,1,0,0,11,3272,3,1,0,False,3272,,,1605139205,1605139205,0,0
429,active,1605136710,1,1,0,0,1,3273,17,1,0,False,3273,,,1605139205,1605139205,0,0
430,active,1605134806,1,1,0,1,2,3275,11,1,0,False,3275,,,1605139205,1605139205,0,0
431,active,1605135252,1,1,0,0,21,3276,5,1,0,False,3276,,,1605139205,1605139205,0,0
432,active,1605136528,1,1,0,0,0,3277,14,1,0,False,3277,,,1605139205,1605139205,0,0
433,active,1605138850,1,1,0,0,3,3278,11,1,0,False,3278,,,1605139205,1605139205,1,0
434,active,1605138858,1,1,0,0,7,3279,11,1,0,False,3279,,,1605139205,1605139205,0,0
435,active,1605135693,1,1,0,0,13,3280,1,1,0,False,3280,,,1605139205,1605139205,0,0
436,active,1605102445,1,1,0,0,14,3281,0,1,0,False,3281,,,1605139205,1605139205,0,0
437,active,1605139181,1,1,0,3,27,3282,8,1,2,True,3282,,,1605139205,1605139205,0,2
438,active,1605139092,1,1,0,1,40,3283,6,1,2,False,3283,,,1605139205,1605139205,0,2
439,active,1605138897,1,1,0,0,35,3284,3,1,2,False,3284,,,1605139205,1605139205,2,0
440,active,1605138643,1,1,0,0,31,3285,12,1,5,False,3285,,,1605139205,1605139205,1,0
441,active,1605139187,1,1,0,1,28,3286,10,1,3,False,3286,,,1605139205,1605139205,0,1
442,active,1605138409,1,1,0,3,33,3287,11,1,7,False,3287,,,1605139205,1605139205,0,1
443,active,1605139049,1,1,0,1,13,3288,25,1,11,False,3288,,,1605139205,1605139205,2,0
444,active,1605138451,1,1,0,2,24,3289,6,1,2,False,3289,,,1605139205,1605139205,3,0
445,active,1605138975,1,1,1,0,23,3290,11,1,3,False,3290,,,1605139205,1605139205,3,0
446,active,1605138989,1,1,1,2,39,3292,1,1,0,True,3292,,,1605139205,1605139205,0,0
447,active,1605139105,1,1,0,1,19,3293,4,1,3,False,3293,,,1605139205,1605139205,1,0
448,active,1605138626,1,1,0,1,35,3294,2,1,0,True,3294,,,1605139205,1605139205,26,0
449,active,1605138982,1,1,0,0,29,3296,13,1,0,False,3296,,,1605139205,1605139205,0,1
450,active,1605135109,1,1,0,0,21,3297,0,1,0,False,3297,,,1605139205,1605139205,0,0
451,active,1605138337,1,1,0,0,9,3298,14,1,0,False,3298,,,1605139205,1605139205,0,0
452,active,1605137122,1,1,0,2,13,3299,10,1,1,False,3299,,,1605139205,1605139205,0,1
453,active,1605138551,1,1,0,0,24,3300,1,1,1,False,3300,,,1605139205,1605139205,0,0
454,active,1605139107,1,1,2,2,20,3301,15,1,8,False,3301,,,1605139205,1605139205,2,0
455,active,1605136783,1,1,0,0,21,3302,1,1,0,False,3302,,,1605139205,1605139205,0,0
456,active,1605130204,1,1,0,1,5,3303,19,1,0,False,3303,,,1605139205,1605139205,0,0
