,num_bikes_available,num_bikes_disabled,num_docks_available,is_installed,last_reported,station_status,station_id,num_docks_disabled,is_returning,is_renting,eightd_has_available_keys,num_ebikes_available,legacy_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
555,27,1,5,1,1604659190,active,3414,0,1,1,False,0,3414,,,1604660405,1604660405,1,0
556,8,1,16,1,1604660204,active,3415,0,1,1,False,0,3415,,,1604660405,1604660405,0,0
557,3,1,20,1,1604660294,active,3416,1,1,1,False,2,3416,,,1604660405,1604660405,0,1
558,20,0,7,1,1604641457,active,3417,0,1,1,False,0,3417,,,1604660405,1604660405,1,0
559,26,1,6,1,1604658245,active,3418,0,1,1,False,3,3418,,,1604660405,1604660405,0,2
560,24,0,3,1,1604646479,active,3419,0,1,1,False,1,3419,,,1604660405,1604660405,1,0
561,15,0,6,1,1604646019,active,3420,0,1,1,False,1,3420,,,1604660405,1604660405,0,0
562,22,0,1,1,1604647342,active,3421,0,1,1,False,0,3421,,,1604660405,1604660405,0,0
563,19,1,1,1,1604656483,active,3422,0,1,1,False,0,3422,,,1604660405,1604660405,0,0
564,26,3,0,1,1604654959,active,3423,0,1,1,True,12,3423,,,1604660405,1604660405,0,5
565,27,0,0,1,1604658109,active,3424,0,1,1,False,0,3424,,,1604660405,1604660405,0,1
566,32,1,0,1,1604649476,active,3425,0,1,1,False,3,3425,,,1604660405,1604660405,0,1
567,22,0,17,1,1604658953,active,3429,0,1,1,False,1,3429,,,1604660405,1604660405,0,1
568,8,0,17,1,1604659595,active,3430,0,1,1,False,2,3430,,,1604660405,1604660405,0,1
569,15,3,27,1,1604646513,active,3435,0,1,1,False,1,3435,,,1604660405,1604660405,0,2
570,17,0,18,1,1604660138,active,3436,0,1,1,False,1,3436,,,1604660405,1604660405,8,0
571,11,0,28,1,1604641318,active,3437,0,1,1,False,4,3437,,,1604660405,1604660405,0,2
572,23,1,23,1,1604644653,active,3440,0,1,1,False,0,3440,,,1604660405,1604660405,0,0
573,3,1,36,1,1604660027,active,3443,0,1,1,False,0,3443,,,1604660405,1604660405,9,0
574,18,1,24,1,1604659416,active,3452,0,1,1,False,0,3452,,,1604660405,1604660405,2,0
575,10,1,8,1,1604643403,active,3453,0,1,1,False,0,3453,,,1604660405,1604660405,0,1
576,8,0,16,1,1604643164,active,3454,0,1,1,False,2,3454,,,1604660405,1604660405,0,0
577,7,0,15,1,1604637864,active,3456,0,1,1,False,0,3456,,,1604660405,1604660405,0,1
578,0,0,0,1,1604635409,active,3457,46,0,0,False,0,3457,,,1604660405,1604660405,0,0
579,26,0,7,1,1604658082,active,3461,0,1,1,False,0,3461,,,1604660405,1604660405,0,1
580,12,1,26,1,1604648016,active,3462,0,1,1,False,0,3462,,,1604660405,1604660405,0,3
581,29,1,7,1,1604646895,active,3463,0,1,1,False,0,3463,,,1604660405,1604660405,0,0
582,44,0,0,1,1604654592,active,3467,0,1,1,False,1,3467,,,1604660405,1604660405,0,1
583,14,0,9,1,1604655112,active,3469,0,1,1,False,1,3469,,,1604660405,1604660405,0,0
584,38,1,0,1,1604659138,active,3472,0,1,1,False,0,3472,,,1604660405,1604660405,0,0
585,28,2,3,1,1604649043,active,3477,0,1,1,False,1,3477,,,1604660405,1604660405,0,0
586,32,1,10,1,1604637786,active,3478,0,1,1,False,2,3478,,,1604660405,1604660405,0,0
587,22,0,0,1,1604635849,active,3481,0,1,1,False,0,3481,,,1604660405,1604660405,0,1
588,11,0,3,1,1604635439,active,3483,0,1,1,False,0,3483,,,1604660405,1604660405,0,0
589,19,0,11,1,1604657975,active,3486,0,1,1,False,1,3486,,,1604660405,1604660405,0,0
590,30,0,1,1,1604652515,active,3490,0,1,1,False,12,3490,,,1604660405,1604660405,0,0
591,23,0,1,1,1604635571,active,3491,0,1,1,False,1,3491,,,1604660405,1604660405,0,0
592,24,0,3,1,1604637916,active,3492,0,1,1,False,0,3492,,,1604660405,1604660405,0,1
593,27,0,4,1,1604640899,active,3493,0,1,1,False,0,3493,,,1604660405,1604660405,0,0
594,21,0,4,1,1604660284,active,3494,0,1,1,False,1,3494,,,1604660405,1604660405,1,0
595,22,1,3,1,1604659455,active,3495,0,1,1,False,0,3495,,,1604660405,1604660405,0,0
596,23,1,1,1,1604651848,active,3496,0,1,1,False,4,3496,,,1604660405,1604660405,0,2
597,20,2,1,1,1604658738,active,3497,0,1,1,False,6,3497,,,1604660405,1604660405,0,1
598,20,0,1,1,1604658606,active,3498,0,1,1,False,4,3498,,,1604660405,1604660405,0,0
599,22,1,2,1,1604659484,active,3499,0,1,1,False,1,3499,,,1604660405,1604660405,0,0
600,23,0,8,1,1604646032,active,3500,0,1,1,False,3,3500,,,1604660405,1604660405,0,0
601,29,0,0,1,1604638210,active,3501,0,1,1,False,0,3501,,,1604660405,1604660405,0,0
602,20,0,9,1,1604658857,active,3502,0,1,1,False,6,3502,,,1604660405,1604660405,2,0
603,25,0,5,1,1604655393,active,3503,0,1,1,False,0,3503,,,1604660405,1604660405,0,0
