,is_installed,is_renting,is_returning,num_docks_available,last_reported,num_docks_disabled,eightd_has_available_keys,station_id,num_ebikes_available,num_bikes_disabled,station_status,num_bikes_available,legacy_id,eightd_active_station_services,valet,starttime,timestamp,demand,supply
424,1,1,1,7,1605037189,0,False,3267,0,0,active,7,3267,,,1605038400,1605038400,0,0
425,1,1,1,6,1605031016,0,False,3268,0,0,active,8,3268,,,1605038400,1605038400,0,0
426,1,1,1,10,1605036534,0,False,3269,0,0,active,4,3269,,,1605038400,1605038400,0,1
427,1,1,1,5,1605038259,0,False,3270,0,0,active,9,3270,,,1605038400,1605038400,1,0
428,1,1,1,9,1605037912,0,False,3272,0,0,active,5,3272,,,1605038400,1605038400,0,1
429,1,1,1,2,1605036745,0,False,3273,0,0,active,16,3273,,,1605038400,1605038400,2,0
430,1,1,1,7,1605035315,0,False,3275,0,0,active,7,3275,,,1605038400,1605038400,0,1
431,1,1,1,20,1605036726,0,False,3276,0,0,active,6,3276,,,1605038400,1605038400,0,3
432,1,1,1,5,1605037362,0,False,3277,0,0,active,9,3277,,,1605038400,1605038400,0,0
433,1,1,1,11,1605038217,0,False,3278,0,0,active,3,3278,,,1605038400,1605038400,0,0
434,1,1,1,5,1605038144,0,False,3279,0,0,active,13,3279,,,1605038400,1605038400,1,0
435,1,1,1,14,1605035885,0,False,3280,0,0,active,0,3280,,,1605038400,1605038400,1,0
436,1,1,1,14,1605011179,0,False,3281,0,0,active,0,3281,,,1605038400,1605038400,0,0
437,1,1,1,35,1605038252,0,True,3282,3,0,active,3,3282,,,1605038400,1605038400,0,2
438,1,1,1,45,1605038162,0,False,3283,1,1,active,1,3283,,,1605038400,1605038400,3,0
439,1,1,1,32,1605038121,0,False,3284,6,0,active,6,3284,,,1605038400,1605038400,0,5
440,1,1,1,41,1605038367,0,False,3285,0,1,active,1,3285,,,1605038400,1605038400,1,0
441,1,1,1,37,1605038154,0,False,3286,1,0,active,2,3286,,,1605038400,1605038400,3,0
442,1,1,1,42,1605038193,0,False,3287,0,0,active,5,3287,,,1605038400,1605038400,4,0
443,1,1,1,35,1605038104,0,False,3288,1,1,active,3,3288,,,1605038400,1605038400,0,0
444,1,1,1,30,1605037892,0,False,3289,0,0,active,2,3289,,,1605038400,1605038400,0,2
445,1,1,1,31,1605038119,1,False,3290,1,0,active,3,3290,,,1605038400,1605038400,0,0
446,1,1,1,39,1605038119,1,True,3292,1,0,active,3,3292,,,1605038400,1605038400,0,3
447,1,1,1,23,1605037771,0,False,3293,0,0,active,1,3293,,,1605038400,1605038400,0,0
448,1,1,1,38,1605037557,0,True,3294,0,0,active,0,3294,,,1605038400,1605038400,1,0
449,1,1,1,38,1605037197,0,False,3296,0,1,active,3,3296,,,1605038400,1605038400,1,0
450,1,1,1,14,1605037749,0,False,3297,0,0,active,7,3297,,,1605038400,1605038400,0,3
451,1,1,1,1,1605038149,0,False,3298,0,0,active,22,3298,,,1605038400,1605038400,0,0
452,1,1,1,6,1605037690,0,False,3299,0,2,active,17,3299,,,1605038400,1605038400,0,3
453,1,1,1,21,1605038381,0,False,3300,2,1,active,3,3300,,,1605038400,1605038400,0,1
454,1,1,1,33,1605038320,2,False,3301,0,1,active,3,3301,,,1605038400,1605038400,0,2
455,1,1,1,22,1605030682,0,False,3302,0,0,active,0,3302,,,1605038400,1605038400,0,0
456,1,1,1,2,1605038173,0,False,3303,1,1,active,22,3303,,,1605038400,1605038400,0,0
457,1,1,1,5,1605038210,0,False,3304,1,0,active,22,3304,,,1605038400,1605038400,4,0
458,1,1,1,31,1605038268,0,False,3305,0,2,active,6,3305,,,1605038400,1605038400,6,0
459,1,1,1,15,1605038367,0,False,3306,1,1,active,7,3306,,,1605038400,1605038400,0,2
460,1,1,1,29,1605038387,0,False,3307,1,0,active,2,3307,,,1605038400,1605038400,0,1
461,1,1,1,11,1605038132,0,False,3308,0,0,active,16,3308,,,1605038400,1605038400,0,0
462,1,1,1,22,1605036772,0,False,3309,0,0,active,8,3309,,,1605038400,1605038400,0,2
463,1,1,1,24,1605037720,0,False,3310,0,0,active,0,3310,,,1605038400,1605038400,0,0
