,last_reported,station_id,is_installed,station_status,legacy_id,eightd_has_available_keys,num_docks_available,is_returning,num_docks_disabled,num_bikes_disabled,num_bikes_available,num_ebikes_available,is_renting,valet,eightd_active_station_services,starttime,timestamp,demand,supply
592,1604779111,3492,1,active,3492,False,7,1,0,0,20,0,1,,,1604782800,1604782800,0,3
593,1604782659,3493,1,active,3493,False,7,1,0,0,24,0,1,,,1604782800,1604782800,1,0
594,1604782743,3494,1,active,3494,False,2,1,0,1,22,0,1,,,1604782800,1604782800,0,3
595,1604782655,3495,1,active,3495,False,1,1,2,10,13,0,1,,,1604782800,1604782800,0,4
596,1604781978,3496,1,active,3496,False,14,1,0,1,10,0,1,,,1604782800,1604782800,0,5
597,1604782643,3497,1,active,3497,False,3,1,0,1,19,1,1,,,1604782800,1604782800,0,2
598,1604782552,3498,1,active,3498,False,7,1,0,3,11,0,1,,,1604782800,1604782800,0,0
599,1604782229,3499,1,active,3499,False,3,1,0,2,20,0,1,,,1604782800,1604782800,0,2
600,1604781734,3500,1,active,3500,False,14,1,0,0,17,0,1,,,1604782800,1604782800,3,0
601,1604781735,3501,1,active,3501,False,7,1,0,0,22,0,1,,,1604782800,1604782800,0,0
602,1604782576,3502,1,active,3502,False,21,1,0,0,8,0,1,,,1604782800,1604782800,0,5
603,1604782172,3503,1,active,3503,False,7,1,0,1,22,0,1,,,1604782800,1604782800,1,0
604,1604779012,3504,1,active,3504,True,0,1,0,2,25,1,1,,,1604782800,1604782800,0,6
605,1604782293,3505,1,active,3505,False,6,1,0,6,21,0,1,,,1604782800,1604782800,0,0
606,1604782536,3506,1,active,3506,False,6,1,0,0,23,1,1,,,1604782800,1604782800,0,1
607,1604781690,3507,1,active,3507,False,1,1,0,1,34,0,1,,,1604782800,1604782800,0,6
608,1604782713,3508,1,active,3508,False,19,1,0,1,11,0,1,,,1604782800,1604782800,0,0
609,1604782396,3509,1,active,3509,False,16,1,0,2,13,1,1,,,1604782800,1604782800,0,1
610,1604781576,3510,1,active,3510,False,10,1,0,1,20,0,1,,,1604782800,1604782800,2,0
611,1604782288,3511,1,active,3511,False,9,1,0,0,13,0,1,,,1604782800,1604782800,0,1
612,1604782303,3513,1,active,3513,False,14,1,0,1,6,1,1,,,1604782800,1604782800,0,5
613,1604782729,3514,1,active,3514,False,22,1,0,1,0,0,1,,,1604782800,1604782800,0,0
614,1601651096,3515,0,out_of_service,3515,False,7,0,0,0,0,0,0,,,1604782800,1604782800,0,0
615,1604782161,3516,1,active,3516,False,29,1,0,1,1,0,1,,,1604782800,1604782800,3,0
616,1604782478,3517,1,active,3517,False,19,1,0,0,16,0,1,,,1604782800,1604782800,0,3
617,1604782588,3518,1,active,3518,True,2,1,0,1,31,0,1,,,1604782800,1604782800,0,1
618,1604782696,3520,1,active,3520,False,13,1,0,1,13,0,1,,,1604782800,1604782800,4,0
619,1604782682,3521,1,active,3521,False,9,1,0,3,24,0,1,,,1604782800,1604782800,6,0
620,1604780050,3522,1,active,3522,False,15,1,0,1,3,0,1,,,1604782800,1604782800,0,2
621,1604781946,3523,1,active,3523,False,15,1,0,2,8,0,1,,,1604782800,1604782800,2,0
622,1604781226,3524,1,active,3524,False,0,1,0,2,21,1,1,,,1604782800,1604782800,0,0
623,1604782359,3525,1,active,3525,False,18,1,0,0,3,0,1,,,1604782800,1604782800,2,0
624,1604782756,3526,1,active,3526,False,19,1,0,0,2,0,1,,,1604782800,1604782800,5,0
625,1604782693,3527,1,active,3527,False,11,1,0,3,13,0,1,,,1604782800,1604782800,0,1
626,1604782341,3528,1,active,3528,False,13,1,0,1,7,0,1,,,1604782800,1604782800,0,7
627,1604782610,3529,1,active,3529,False,18,1,0,0,7,0,1,,,1604782800,1604782800,1,0
628,1604780585,3530,1,active,3530,False,13,1,0,0,6,0,1,,,1604782800,1604782800,0,3
629,1604781666,3531,1,active,3531,False,14,1,0,1,12,0,1,,,1604782800,1604782800,0,3
630,1604782780,3532,1,active,3532,False,13,1,0,0,14,1,1,,,1604782800,1604782800,0,5
631,1604782384,3533,1,active,3533,False,16,1,0,1,17,0,1,,,1604782800,1604782800,0,5
632,1604782768,3534,1,active,3534,False,11,1,0,0,28,0,1,,,1604782800,1604782800,6,0
633,1604782210,3535,1,active,3535,False,13,1,0,1,13,0,1,,,1604782800,1604782800,0,6
634,1604782655,3536,1,active,3536,False,41,1,0,1,1,1,1,,,1604782800,1604782800,2,0
635,1604782767,3537,1,active,3537,False,28,1,0,0,1,0,1,,,1604782800,1604782800,3,0
636,1604782444,3538,1,active,3538,False,42,1,0,1,2,2,1,,,1604782800,1604782800,0,0
637,1604782093,3539,1,active,3539,False,39,1,0,3,1,0,1,,,1604782800,1604782800,0,0
638,1604781633,3540,1,active,3540,False,25,1,0,0,10,0,1,,,1604782800,1604782800,2,0
639,1604782224,3541,1,active,3541,False,20,1,0,0,19,1,1,,,1604782800,1604782800,1,0
