,eightd_has_available_keys,is_installed,is_renting,is_returning,last_reported,legacy_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,station_status,starttime,timestamp,demand,supply
0,False,1,1,1,1608428153,72,6,0,49,0,0,72,active,1608436800,1608436800,0,0
1,False,1,1,1,1608428622,79,24,1,8,0,5,79,active,1608436800,1608436800,0,0
2,False,1,1,1,1608433668,82,19,1,7,0,3,82,active,1608436800,1608436800,0,0
3,False,1,1,1,1608433379,83,29,0,33,0,3,83,active,1608436800,1608436800,0,3
4,False,1,1,1,1608434571,116,36,0,14,0,5,116,active,1608436800,1608436800,0,0
5,False,1,1,1,1608426082,119,25,2,26,0,2,119,active,1608436800,1608436800,0,0
6,False,1,0,1,1608431973,120,0,9,10,0,0,120,active,1608436800,1608436800,0,0
7,False,1,0,1,1608416197,127,0,31,0,0,0,127,active,1608436800,1608436800,0,0
8,False,1,1,1,1608434386,128,39,1,16,0,4,128,active,1608436800,1608436800,0,0
9,False,1,1,1,1608421032,143,2,0,22,0,0,143,active,1608436800,1608436800,0,0
10,False,1,1,1,1608434711,144,52,0,6,0,0,144,active,1608436800,1608436800,0,0
11,False,1,1,1,1608436091,146,21,1,17,0,1,146,active,1608436800,1608436800,1,0
12,False,1,1,1,1608434173,150,44,2,9,0,3,150,active,1608436800,1608436800,2,0
13,True,1,1,1,1608435151,151,15,1,17,0,5,151,active,1608436800,1608436800,0,2
14,False,1,1,1,1608431540,152,5,0,44,0,0,152,active,1608436800,1608436800,0,0
15,False,1,1,1,1608432966,157,5,0,17,1,0,157,active,1608436800,1608436800,1,0
16,False,1,1,1,1608431830,161,33,2,0,0,8,161,active,1608436800,1608436800,0,0
17,False,1,1,1,1608433491,164,7,1,39,0,1,164,active,1608436800,1608436800,0,0
18,False,1,1,1,1608432661,168,39,0,3,0,11,168,active,1608436800,1608436800,0,1
19,False,1,1,1,1608433827,173,53,4,13,0,22,173,active,1608436800,1608436800,0,0
20,False,1,1,1,1608433877,174,5,0,30,0,1,174,active,1608436800,1608436800,0,0
21,False,1,1,1,1608435903,212,18,0,42,0,4,212,active,1608436800,1608436800,0,0
22,False,1,1,1,1608426140,216,2,0,35,0,1,216,active,1608436800,1608436800,0,0
23,False,1,1,1,1608424421,217,31,0,8,0,4,217,active,1608436800,1608436800,0,0
24,False,1,1,1,1608435375,223,29,0,4,0,3,223,active,1608436800,1608436800,0,0
25,False,1,1,1,1608434934,224,1,0,33,0,0,224,active,1608436800,1608436800,1,0
26,False,1,1,1,1608433228,228,22,1,32,0,4,228,active,1608436800,1608436800,0,0
27,False,1,1,1,1608436512,229,18,1,4,0,3,229,active,1608436800,1608436800,1,0
28,False,1,1,1,1608425902,232,4,0,48,0,0,232,active,1608436800,1608436800,0,0
29,False,1,0,0,86400,236,0,0,0,0,0,236,active,1608436800,1608436800,0,0
30,False,1,1,1,1608436110,237,11,0,28,0,0,237,active,1608436800,1608436800,1,0
31,False,1,1,1,1608433777,238,10,0,21,0,4,238,active,1608436800,1608436800,1,0
32,False,1,1,1,1608433371,239,2,0,29,0,0,239,active,1608436800,1608436800,0,0
33,False,1,1,1,1608427286,241,2,0,21,0,0,241,active,1608436800,1608436800,0,0
34,False,1,1,1,1608435679,242,27,0,19,0,1,242,active,1608436800,1608436800,0,0
35,False,1,0,1,1608436757,244,0,7,23,1,0,244,active,1608436800,1608436800,0,0
36,True,1,1,1,1608414273,245,2,1,20,0,1,245,active,1608436800,1608436800,0,1
37,False,1,1,1,1608434536,247,70,1,8,0,4,247,active,1608436800,1608436800,0,0
38,False,1,1,1,1608436037,248,40,0,51,0,1,248,active,1608436800,1608436800,0,0
39,False,1,1,1,1608427398,249,24,0,3,0,0,249,active,1608436800,1608436800,0,0
40,False,1,1,1,1608436461,250,26,0,14,0,4,250,active,1608436800,1608436800,0,0
41,False,1,1,1,1608432929,251,19,0,8,0,7,251,active,1608436800,1608436800,0,0
42,False,1,1,1,1608436793,252,29,1,3,0,2,252,active,1608436800,1608436800,0,0
43,False,1,1,1,1608436690,254,0,43,0,4,0,254,active,1608436800,1608436800,0,0
44,False,1,1,1,1608435845,257,64,0,15,0,7,257,active,1608436800,1608436800,0,0
45,False,1,1,1,1608431530,258,3,0,20,0,2,258,active,1608436800,1608436800,1,0
46,False,1,1,1,1608433348,259,35,0,4,0,2,259,active,1608436800,1608436800,0,0
47,False,1,1,1,1608429037,260,15,0,18,0,3,260,active,1608436800,1608436800,0,0
48,False,1,1,1,1608435189,261,8,0,33,0,1,261,active,1608436800,1608436800,0,1
49,False,1,1,1,1608431256,262,4,0,20,0,2,262,active,1608436800,1608436800,0,0
50,False,1,1,1,1608435546,264,15,1,11,0,1,264,active,1608436800,1608436800,0,0
51,False,1,0,1,1608436134,265,0,23,12,0,0,265,active,1608436800,1608436800,0,0
52,False,1,1,1,1608434661,267,11,1,66,0,3,267,active,1608436800,1608436800,0,0
53,False,1,1,1,1608436464,268,14,0,13,0,1,268,active,1608436800,1608436800,0,0
54,False,1,1,1,1608433851,270,2,1,25,0,2,270,active,1608436800,1608436800,0,0
55,False,1,1,1,1608428128,274,3,2,26,0,1,274,active,1608436800,1608436800,0,1
56,False,1,1,1,1608434474,275,2,0,17,0,2,275,active,1608436800,1608436800,0,0
57,False,1,1,1,1608432292,276,9,0,16,0,0,276,active,1608436800,1608436800,0,0
58,False,1,1,1,1608426660,278,1,0,18,0,1,278,active,1608436800,1608436800,0,0
59,False,0,0,0,86400,280,0,0,0,0,0,280,out_of_service,1608436800,1608436800,0,0
60,True,1,1,1,1608436196,281,60,1,5,0,13,281,active,1608436800,1608436800,0,6
61,False,1,1,1,1608436108,282,4,0,23,0,2,282,active,1608436800,1608436800,0,0
62,False,1,1,1,1608436211,284,39,2,10,0,9,284,active,1608436800,1608436800,1,0
63,True,1,1,1,1608436258,285,47,3,3,0,7,285,active,1608436800,1608436800,1,0
64,False,1,0,1,1608414216,289,0,1,18,0,0,289,active,1608436800,1608436800,0,0
65,False,1,1,1,1608427854,291,7,1,12,0,4,291,active,1608436800,1608436800,2,0
66,False,1,1,1,1608435027,293,36,0,18,0,0,293,active,1608436800,1608436800,0,1
67,False,1,1,1,1608436531,295,3,0,21,0,1,295,active,1608436800,1608436800,0,0
68,False,1,1,1,1608436497,297,58,1,18,0,6,297,active,1608436800,1608436800,0,1
69,False,1,1,1,1608432723,298,6,0,29,0,1,298,active,1608436800,1608436800,1,0
70,False,1,1,1,1608432782,301,24,0,34,0,2,301,active,1608436800,1608436800,0,0
71,False,1,1,1,1608435204,302,11,2,24,0,0,302,active,1608436800,1608436800,0,1
72,False,1,1,1,1608431357,303,59,2,6,0,4,303,active,1608436800,1608436800,0,0
73,True,1,1,1,1608422657,304,25,1,7,0,3,304,active,1608436800,1608436800,0,0
74,False,1,1,1,1608434367,305,3,2,28,0,0,305,active,1608436800,1608436800,0,1
75,False,1,1,1,1608436160,307,7,0,23,0,2,307,active,1608436800,1608436800,0,0
76,False,1,1,1,1608434549,308,34,1,13,0,3,308,active,1608436800,1608436800,0,1
77,False,1,1,1,1608431098,309,26,1,14,0,0,309,active,1608436800,1608436800,0,0
78,False,1,1,1,1608436437,310,59,1,6,0,0,310,active,1608436800,1608436800,0,0
79,False,1,1,1,1608431187,311,20,0,11,0,3,311,active,1608436800,1608436800,0,1
80,False,1,1,1,1608435533,312,5,0,28,0,0,312,active,1608436800,1608436800,0,0
81,False,1,0,1,1608435700,313,0,28,27,0,0,313,active,1608436800,1608436800,0,0
82,False,1,1,1,1608431950,315,23,0,6,0,0,315,active,1608436800,1608436800,0,0
83,False,1,1,1,1608436729,316,0,0,43,0,0,316,active,1608436800,1608436800,1,0
84,False,1,0,1,1608425276,317,0,33,34,0,0,317,active,1608436800,1608436800,0,0
85,False,1,1,1,1608431713,319,1,0,32,0,1,319,active,1608436800,1608436800,0,0
86,False,1,1,1,1608435874,320,18,1,16,0,1,320,active,1608436800,1608436800,0,1
87,False,1,1,1,1608427344,321,17,0,22,0,2,321,active,1608436800,1608436800,0,1
