,station_id,num_bikes_disabled,num_docks_available,is_returning,num_docks_disabled,legacy_id,is_installed,eightd_has_available_keys,num_bikes_available,is_renting,last_reported,num_ebikes_available,station_status,starttime,timestamp,demand,supply
899,3884,0,22,1,0,3884,1,False,1,1,1605084916,0,active,1605088800,1605088800,0,0
900,3885,0,15,1,0,3885,1,False,4,1,1605084916,3,active,1605088800,1605088800,0,0
901,3886,0,17,1,0,3886,1,False,3,1,1605084916,0,active,1605088800,1605088800,0,0
902,3887,0,3,1,0,3887,1,False,18,1,1605084916,0,active,1605088800,1605088800,0,0
903,3888,0,17,1,0,3888,1,False,2,1,1605084915,1,active,1605088800,1605088800,0,0
904,3890,1,21,1,0,3890,1,False,9,1,1605084914,2,active,1605088800,1605088800,0,0
905,3891,0,13,1,0,3891,1,False,7,1,1605084914,5,active,1605088800,1605088800,0,0
906,3892,0,10,1,0,3892,1,False,9,1,1605082756,1,active,1605088800,1605088800,0,0
907,3893,1,9,1,0,3893,1,False,15,1,1605085782,7,active,1605088800,1605088800,0,0
908,3894,2,2,1,0,3894,1,False,32,1,1605087652,1,active,1605088800,1605088800,1,0
909,3895,0,23,1,0,3895,1,False,2,1,1605084915,1,active,1605088800,1605088800,0,0
910,3896,0,18,1,0,3896,1,False,4,1,1605084914,0,active,1605088800,1605088800,0,0
911,3897,0,12,1,0,3897,1,False,5,1,1605084915,3,active,1605088800,1605088800,0,0
912,3898,0,55,1,0,3898,1,False,2,1,1605080090,1,active,1605088800,1605088800,0,0
913,3899,0,4,1,0,3899,1,False,14,1,1605080090,0,active,1605088800,1605088800,0,0
914,3900,2,26,1,0,3900,1,False,2,1,1605084914,0,active,1605088800,1605088800,2,0
915,3901,0,13,1,0,3901,1,False,4,1,1605084915,4,active,1605088800,1605088800,0,0
916,3902,0,13,1,0,3902,1,False,6,1,1605084916,3,active,1605088800,1605088800,0,0
917,3903,0,9,1,0,3903,1,False,8,1,1605087010,4,active,1605088800,1605088800,0,0
918,3905,0,8,1,0,3905,1,False,19,1,1605081206,1,active,1605088800,1605088800,0,1
919,3906,0,3,1,0,3906,1,False,29,1,1605088212,0,active,1605088800,1605088800,0,2
920,3907,0,17,1,0,3907,1,False,0,1,1605084915,0,active,1605088800,1605088800,0,0
921,3909,0,19,1,0,3909,1,False,1,1,1605084915,1,active,1605088800,1605088800,0,0
922,3910,0,11,1,0,3910,1,False,6,1,1605084917,4,active,1605088800,1605088800,0,0
923,3911,0,8,1,0,3911,1,False,14,1,1605081296,1,active,1605088800,1605088800,0,2
924,3913,0,6,1,0,3913,1,False,13,1,1605086365,1,active,1605088800,1605088800,0,0
925,3914,0,32,1,0,3914,1,False,7,1,1605080090,2,active,1605088800,1605088800,0,2
926,3916,0,5,1,0,3916,1,True,40,1,1605076472,0,active,1605088800,1605088800,1,0
927,3917,0,11,1,0,3917,1,False,20,1,1605075266,0,active,1605088800,1605088800,0,0
928,3918,1,1,1,0,3918,1,False,28,1,1605081953,2,active,1605088800,1605088800,0,4
929,3919,0,21,1,0,3919,1,False,16,1,1605075268,1,active,1605088800,1605088800,0,1
930,3920,1,5,1,0,3920,1,False,13,1,1605087841,1,active,1605088800,1605088800,0,0
