,legacy_id,station_status,is_returning,station_id,num_bikes_available,eightd_has_available_keys,last_reported,is_installed,num_docks_disabled,num_bikes_disabled,is_renting,num_docks_available,num_ebikes_available,valet,eightd_active_station_services,starttime,timestamp,demand,supply
697,3605,active,1,3605,3,False,1604696285,1,0,0,1,18,0,,,1604696400,1604696400,1,0
698,3606,active,1,3606,2,False,1604695817,1,0,0,1,19,1,,,1604696400,1604696400,0,0
699,3607,active,1,3607,17,False,1604696016,1,0,0,1,2,0,,,1604696400,1604696400,0,1
700,3608,active,1,3608,6,False,1604695619,1,0,0,1,15,2,,,1604696400,1604696400,0,0
701,3609,active,1,3609,23,False,1604695301,1,0,0,1,0,0,,,1604696400,1604696400,0,6
702,3610,active,1,3610,24,False,1604696384,1,1,0,1,2,3,,,1604696400,1604696400,0,0
703,3611,active,1,3611,8,False,1604694672,1,0,0,1,23,1,,,1604696400,1604696400,3,0
704,3612,active,1,3612,6,False,1604695271,1,0,0,1,9,0,,,1604696400,1604696400,0,0
705,3613,active,1,3613,6,False,1604696283,1,0,1,1,20,2,,,1604696400,1604696400,0,3
706,3614,active,1,3614,2,False,1604694937,1,0,0,1,10,0,,,1604696400,1604696400,0,1
707,3615,active,1,3615,11,False,1604695604,1,0,0,1,10,3,,,1604696400,1604696400,0,1
708,3616,active,1,3616,3,False,1604696373,1,0,0,1,22,1,,,1604696400,1604696400,3,0
709,3617,active,1,3617,4,False,1604696376,1,0,0,1,7,0,,,1604696400,1604696400,1,0
710,3618,active,1,3618,4,False,1604696289,1,0,1,1,28,0,,,1604696400,1604696400,0,0
711,3619,active,1,3619,2,False,1604696270,1,0,0,1,17,0,,,1604696400,1604696400,0,0
712,3620,active,1,3620,4,False,1604695497,1,0,0,1,19,0,,,1604696400,1604696400,0,1
713,3621,active,1,3621,10,False,1604695748,1,0,1,1,8,0,,,1604696400,1604696400,0,0
714,3622,active,1,3622,0,False,1604694731,1,0,1,1,22,0,,,1604696400,1604696400,2,0
715,3623,active,1,3623,11,False,1604696385,1,0,2,1,26,2,,,1604696400,1604696400,0,6
716,3628,active,1,3628,4,False,1604696390,1,0,2,1,25,0,,,1604696400,1604696400,0,2
717,3629,active,1,3629,23,False,1604696246,1,0,1,1,9,1,,,1604696400,1604696400,0,4
718,3630,active,1,3630,24,False,1604696336,1,0,1,1,8,1,,,1604696400,1604696400,0,3
719,3635,active,1,3635,5,False,1604696156,1,0,1,1,37,1,,,1604696400,1604696400,0,2
720,3637,active,1,3637,4,False,1604696312,1,0,1,1,26,1,,,1604696400,1604696400,0,2
721,3638,active,1,3638,12,False,1604694169,1,0,1,1,5,0,,,1604696400,1604696400,3,0
722,3639,active,1,3639,10,False,1604696101,1,0,2,1,18,0,,,1604696400,1604696400,1,0
723,3640,active,1,3640,2,False,1604694102,1,0,0,1,16,0,,,1604696400,1604696400,0,2
724,3641,active,1,3641,31,False,1604696367,1,0,1,1,22,1,,,1604696400,1604696400,3,0
725,3646,active,1,3646,1,False,1604695860,1,10,0,1,15,0,,,1604696400,1604696400,1,0
726,3647,active,1,3647,21,False,1604696171,1,0,0,1,2,1,,,1604696400,1604696400,0,3
727,3648,active,1,3648,23,False,1604696328,1,0,1,1,1,2,,,1604696400,1604696400,0,2
728,3649,active,1,3649,2,False,1604693486,1,0,0,1,28,1,,,1604696400,1604696400,0,1
729,3654,active,1,3654,3,False,1604696301,1,0,0,1,32,0,,,1604696400,1604696400,3,0
730,3656,active,1,3656,15,False,1604696322,1,0,0,1,31,0,,,1604696400,1604696400,1,0
731,3658,active,1,3658,12,False,1604696333,1,0,0,1,15,0,,,1604696400,1604696400,0,0
732,3661,active,1,3661,13,False,1604693479,1,0,0,1,6,0,,,1604696400,1604696400,0,0
733,3664,active,1,3664,27,False,1604696086,1,0,3,1,0,4,,,1604696400,1604696400,0,4
734,3668,active,1,3668,18,False,1604695475,1,0,0,1,8,2,,,1604696400,1604696400,0,1
735,3671,active,1,3671,0,False,1604696376,1,0,0,1,37,0,,,1604696400,1604696400,3,0
736,3673,active,1,3673,1,False,1604695934,1,0,0,1,20,0,,,1604696400,1604696400,1,0
737,3674,active,1,3674,17,False,1604696243,1,0,2,1,8,0,,,1604696400,1604696400,8,0
738,3676,active,1,3676,24,False,1604696100,1,0,0,1,0,1,,,1604696400,1604696400,0,3
739,3677,active,1,3677,0,False,1604695803,1,0,0,1,18,0,,,1604696400,1604696400,0,0
740,3678,active,1,3678,0,False,1604679402,1,0,0,1,18,0,,,1604696400,1604696400,1,0
741,3679,active,1,3679,0,False,1604691866,1,0,0,1,14,0,,,1604696400,1604696400,0,0
742,3680,active,1,3680,42,False,1604696153,1,0,1,1,12,3,,,1604696400,1604696400,0,3
743,3681,active,1,3681,14,False,1604695990,1,0,0,1,4,0,,,1604696400,1604696400,0,1
