,eightd_has_available_keys,is_installed,is_renting,is_returning,last_reported,legacy_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,station_status,starttime,timestamp,demand,supply
0,False,1,1,1,1608102244,72,8,1,46,0,3,72,active,1608112800,1608112800,0,0
1,False,1,1,1,1608112065,79,16,4,13,0,4,79,active,1608112800,1608112800,0,0
2,False,1,1,1,1608105588,82,16,2,9,0,1,82,active,1608112800,1608112800,0,0
3,False,1,1,1,1608099356,83,11,1,50,0,1,83,active,1608112800,1608112800,0,0
4,False,1,1,1,1608110776,116,44,0,6,0,6,116,active,1608112800,1608112800,0,0
5,False,1,1,1,1608110397,119,31,1,21,0,6,119,active,1608112800,1608112800,0,0
6,False,1,1,1,1608099356,120,4,1,14,0,1,120,active,1608112800,1608112800,0,0
7,False,1,1,1,1608107554,127,30,1,0,0,8,127,active,1608112800,1608112800,0,0
8,False,1,1,1,1608108756,128,48,3,5,0,2,128,active,1608112800,1608112800,0,10
9,False,1,1,1,1608099356,143,4,0,20,0,0,143,active,1608112800,1608112800,0,0
10,False,1,1,1,1608110835,144,48,0,10,0,0,144,active,1608112800,1608112800,0,0
11,False,1,1,1,1608099357,146,19,0,20,0,0,146,active,1608112800,1608112800,0,0
12,False,1,1,1,1608112605,150,22,0,33,0,5,150,active,1608112800,1608112800,0,1
13,True,1,1,1,1608100561,151,18,2,13,0,7,151,active,1608112800,1608112800,0,0
14,False,1,1,1,1608111415,152,6,0,43,0,0,152,active,1608112800,1608112800,0,0
15,False,1,1,1,1608103918,157,6,0,16,1,1,157,active,1608112800,1608112800,0,0
16,False,1,1,1,1608106985,161,29,1,5,0,1,161,active,1608112800,1608112800,0,1
17,False,1,1,1,1608104179,164,9,0,38,0,0,164,active,1608112800,1608112800,0,0
18,False,1,1,1,1608101768,168,27,1,19,0,1,168,active,1608112800,1608112800,0,2
19,False,1,1,1,1608105847,173,60,3,7,0,24,173,active,1608112800,1608112800,1,0
20,False,1,1,1,1608103350,174,2,0,33,0,1,174,active,1608112800,1608112800,0,0
21,False,1,1,1,1608101768,212,22,2,36,0,0,212,active,1608112800,1608112800,0,1
22,False,1,1,1,1608101044,216,3,2,32,0,2,216,active,1608112800,1608112800,0,0
23,False,1,1,1,1608099357,217,24,0,15,0,1,217,active,1608112800,1608112800,0,0
24,False,1,1,1,1608107795,223,30,2,1,0,1,223,active,1608112800,1608112800,1,0
25,False,1,1,1,1608107453,224,10,2,22,0,0,224,active,1608112800,1608112800,0,0
26,False,1,1,1,1608101768,228,21,0,34,0,2,228,active,1608112800,1608112800,0,0
27,False,1,1,1,1608111931,229,14,1,8,0,0,229,active,1608112800,1608112800,0,0
28,False,1,1,1,1608100563,232,2,0,50,0,0,232,active,1608112800,1608112800,0,0
29,False,1,1,1,1608112517,236,0,24,0,27,0,236,active,1608112800,1608112800,0,0
30,False,1,1,1,1608100562,237,13,2,24,0,2,237,active,1608112800,1608112800,0,0
31,False,1,1,1,1608100563,238,25,0,6,0,6,238,active,1608112800,1608112800,0,2
32,False,1,1,1,1608099357,239,7,0,24,0,0,239,active,1608112800,1608112800,0,0
33,False,1,1,1,1608099357,241,2,0,21,0,1,241,active,1608112800,1608112800,0,0
34,False,1,1,1,1608099356,242,26,0,20,0,0,242,active,1608112800,1608112800,0,0
35,False,1,1,1,1608099356,244,7,0,24,0,2,244,active,1608112800,1608112800,0,0
36,True,1,1,1,1608101768,245,8,0,15,0,5,245,active,1608112800,1608112800,2,0
37,False,1,1,1,1608107941,247,70,0,9,0,3,247,active,1608112800,1608112800,0,0
38,False,1,1,1,1608100561,248,41,2,48,0,4,248,active,1608112800,1608112800,0,0
39,False,1,1,1,1608101768,249,22,0,5,0,2,249,active,1608112800,1608112800,0,0
40,False,1,1,1,1608107272,250,34,0,6,0,0,250,active,1608112800,1608112800,0,0
41,False,1,1,1,1608108085,251,23,3,1,0,1,251,active,1608112800,1608112800,0,2
42,False,1,1,1,1608100562,252,13,2,18,0,1,252,active,1608112800,1608112800,0,0
43,False,1,1,1,1608107864,254,43,3,1,0,3,254,active,1608112800,1608112800,0,1
44,False,1,1,1,1608109828,257,56,2,21,0,3,257,active,1608112800,1608112800,0,1
45,False,1,1,1,1608099356,258,4,1,18,0,2,258,active,1608112800,1608112800,0,0
46,False,1,1,1,1608099357,259,29,0,10,0,0,259,active,1608112800,1608112800,0,0
47,False,1,1,1,1608099357,260,6,0,27,0,0,260,active,1608112800,1608112800,1,0
48,False,1,1,1,1608099356,261,12,1,28,0,0,261,active,1608112800,1608112800,1,0
49,False,1,1,1,1608099357,262,11,1,12,0,0,262,active,1608112800,1608112800,0,0
50,False,1,1,1,1608102132,264,7,0,20,0,3,264,active,1608112800,1608112800,0,0
51,False,1,1,1,1608107921,265,20,1,14,0,2,265,active,1608112800,1608112800,0,0
52,False,1,1,1,1608101767,267,11,2,65,0,0,267,active,1608112800,1608112800,1,0
53,False,1,1,1,1608101768,268,19,0,8,0,0,268,active,1608112800,1608112800,1,0
54,False,1,1,1,1608107795,270,5,0,23,0,2,270,active,1608112800,1608112800,0,1
55,False,1,1,1,1608102597,274,5,0,26,0,2,274,active,1608112800,1608112800,0,0
56,False,1,1,1,1608099359,275,3,2,14,0,2,275,active,1608112800,1608112800,0,0
57,False,1,1,1,1608099356,276,14,0,11,0,6,276,active,1608112800,1608112800,0,1
58,False,1,1,1,1608099357,278,7,0,12,0,0,278,active,1608112800,1608112800,0,0
59,False,0,0,0,86400,280,0,0,0,0,0,280,out_of_service,1608112800,1608112800,0,0
60,True,1,1,1,1608112582,281,0,18,0,48,0,281,active,1608112800,1608112800,0,0
61,False,1,1,1,1608102239,282,0,2,25,0,0,282,active,1608112800,1608112800,0,0
62,False,1,1,1,1608112099,284,46,1,4,0,4,284,active,1608112800,1608112800,1,0
63,True,1,1,1,1608107453,285,27,1,25,0,1,285,active,1608112800,1608112800,0,0
64,False,1,1,1,1608099355,289,7,0,12,0,4,289,active,1608112800,1608112800,0,0
65,False,1,1,1,1608110880,291,16,1,3,0,1,291,active,1608112800,1608112800,1,0
66,False,1,1,1,1608110356,293,26,2,26,0,1,293,active,1608112800,1608112800,0,1
67,False,1,1,1,1608107762,295,7,0,17,0,2,295,active,1608112800,1608112800,1,0
