,station_status,num_bikes_disabled,num_bikes_available,eightd_has_available_keys,legacy_id,station_id,is_renting,num_docks_disabled,is_installed,num_ebikes_available,is_returning,num_docks_available,last_reported,starttime,timestamp,demand,supply
0,active,0,32,False,72,72,1,0,1,1,1,23,1604284861,1604286000,1604286000,32,32
1,active,0,20,False,79,79,1,0,1,0,1,13,1604284740,1604286000,1604286000,20,20
2,active,1,14,False,82,82,1,0,1,0,1,12,1604282725,1604286000,1604286000,14,14
3,active,0,53,False,83,83,1,0,1,0,1,9,1604280273,1604286000,1604286000,53,53
4,out_of_service,0,0,False,116,116,0,0,0,0,0,0,86400,1604286000,1604286000,0,0
5,active,1,41,False,119,119,1,0,1,1,1,11,1604283416,1604286000,1604286000,41,41
6,active,0,9,False,120,120,1,0,1,2,1,10,1604281338,1604286000,1604286000,9,9
7,active,2,27,False,127,127,1,0,1,3,1,2,1604285609,1604286000,1604286000,27,27
8,active,1,33,False,128,128,1,0,1,1,1,22,1604285430,1604286000,1604286000,33,33
9,active,1,2,False,143,143,1,0,1,0,1,21,1604284371,1604286000,1604286000,2,2
10,active,0,32,False,144,144,1,0,1,0,1,26,1604278087,1604286000,1604286000,32,32
11,active,2,12,False,146,146,1,0,1,0,1,25,1604285241,1604286000,1604286000,12,12
12,active,0,37,False,150,150,1,0,1,4,1,18,1604283837,1604286000,1604286000,37,37
13,active,2,5,True,151,151,1,0,1,2,1,26,1604285681,1604286000,1604286000,5,5
14,active,0,13,False,152,152,1,0,1,0,1,36,1604278955,1604286000,1604286000,13,13
15,active,3,19,False,157,157,1,0,1,3,1,1,1604283664,1604286000,1604286000,19,19
16,active,1,9,False,161,161,1,0,1,3,1,25,1604285252,1604286000,1604286000,9,9
17,active,0,8,False,164,164,1,0,1,0,1,19,1604285935,1604286000,1604286000,8,8
18,active,0,21,False,168,168,1,0,1,0,1,26,1604285987,1604286000,1604286000,21,21
19,active,3,21,False,173,173,1,0,1,2,1,46,1604285268,1604286000,1604286000,21,21
20,active,2,21,False,174,174,1,0,1,3,1,7,1604285902,1604286000,1604286000,21,21
21,active,0,6,False,212,212,1,0,1,2,1,54,1604282348,1604286000,1604286000,6,6
22,active,0,7,False,216,216,1,0,1,2,1,30,1604285205,1604286000,1604286000,7,7
23,active,1,38,False,217,217,1,0,1,0,1,0,1604278821,1604286000,1604286000,38,38
24,active,0,8,False,223,223,1,0,1,0,1,25,1604285839,1604286000,1604286000,8,8
25,active,1,1,True,224,224,1,0,1,0,1,28,1604284354,1604286000,1604286000,1,1
26,active,1,24,False,228,228,1,0,1,5,1,30,1604285596,1604286000,1604286000,24,24
27,active,2,8,False,229,229,1,0,1,0,1,13,1604281958,1604286000,1604286000,8,8
