,num_ebikes_available,num_bikes_disabled,station_status,num_bikes_available,station_id,is_renting,eightd_has_available_keys,num_docks_available,is_installed,last_reported,is_returning,legacy_id,num_docks_disabled,eightd_active_station_services,valet,starttime,timestamp,demand,supply
57,0,1,active,3,278,1,False,15,1,1604634244,1,278,0,,,1604635195,1604635195,2,0
58,0,0,out_of_service,0,280,0,False,0,0,86400,0,280,0,,,1604635195,1604635195,0,0
59,8,0,active,12,281,1,True,54,1,1604635025,1,281,0,,,1604635195,1604635195,0,3
60,2,3,active,19,282,1,False,5,1,1604634897,1,282,0,,,1604635195,1604635195,0,1
61,0,0,active,35,284,1,False,16,1,1604634609,1,284,0,,,1604635195,1604635195,0,2
62,0,2,active,10,285,1,True,41,1,1604635190,1,285,0,,,1604635195,1604635195,0,4
63,2,0,active,8,289,1,False,11,1,1604628844,1,289,0,,,1604635195,1604635195,0,2
64,0,0,active,20,291,1,False,0,1,1604632153,1,291,0,,,1604635195,1604635195,0,0
65,0,3,active,18,293,1,False,33,1,1604635123,1,293,0,,,1604635195,1604635195,0,2
66,0,0,active,0,295,0,False,0,1,86400,0,295,0,,,1604635195,1604635195,0,0
67,0,7,active,22,297,1,False,48,1,1604635114,1,297,0,,,1604635195,1604635195,5,0
68,1,1,active,30,298,1,False,4,1,1604633397,1,298,0,,,1604635195,1604635195,1,0
69,1,0,active,35,301,1,False,23,1,1604635116,1,301,0,,,1604635195,1604635195,2,0
70,3,3,active,15,302,1,False,19,1,1604634093,1,302,0,,,1604635195,1604635195,0,0
71,0,2,active,53,303,1,False,12,1,1604634998,1,303,0,,,1604635195,1604635195,0,0
72,1,0,active,11,304,1,True,22,1,1604635003,1,304,0,,,1604635195,1604635195,2,0
73,1,3,active,3,305,1,False,27,1,1604634050,1,305,0,,,1604635195,1604635195,0,0
74,4,2,active,27,307,1,False,1,1,1604634914,1,307,0,,,1604635195,1604635195,1,0
75,3,2,active,13,308,1,False,33,1,1604632573,1,308,0,,,1604635195,1604635195,0,0
76,0,1,active,15,309,1,False,25,1,1604634994,1,309,0,,,1604635195,1604635195,1,0
77,0,0,active,62,310,1,False,3,1,1604633126,1,310,1,,,1604635195,1604635195,2,0
78,0,1,active,21,311,1,False,9,1,1604635142,1,311,0,,,1604635195,1604635195,0,1
79,0,0,active,27,312,1,False,6,1,1604634977,1,312,0,,,1604635195,1604635195,3,0
80,1,0,active,54,313,0,False,1,1,1604618721,0,313,0,,,1604635195,1604635195,0,0
81,0,2,active,15,315,1,False,12,1,1604632444,1,315,0,,,1604635195,1604635195,0,0
82,1,0,active,7,316,1,False,36,1,1604635065,1,316,0,,,1604635195,1604635195,2,0
83,2,2,active,47,317,1,False,5,1,1604635003,1,317,0,,,1604635195,1604635195,5,0
84,0,0,active,3,319,1,False,30,1,1604634809,1,319,0,,,1604635195,1604635195,1,0
85,0,2,active,19,320,1,False,18,1,1604633381,1,320,0,,,1604635195,1604635195,0,5
86,1,1,active,23,321,1,False,15,1,1604634819,1,321,0,,,1604635195,1604635195,0,0
87,0,1,active,15,323,1,False,23,1,1604633148,1,323,0,,,1604635195,1604635195,0,0
88,3,1,active,72,324,0,False,1,1,1604635188,0,324,0,,,1604635195,1604635195,0,0
89,0,1,active,33,325,1,False,1,1,1604633945,1,325,0,,,1604635195,1604635195,0,2
90,0,8,active,22,326,1,False,11,1,1604635035,1,326,0,,,1604635195,1604635195,0,0
91,0,2,active,11,327,1,True,26,1,1604635024,1,327,0,,,1604635195,1604635195,2,0
