,legacy_id,num_ebikes_available,station_status,eightd_has_available_keys,num_docks_available,num_bikes_available,num_bikes_disabled,is_renting,last_reported,is_installed,num_docks_disabled,is_returning,station_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
0,72,0,active,False,54,0,1,1,1604948106,1,0,1,72,,,1604948405,1604948405,2,0
1,79,4,active,False,0,31,2,1,1604948171,1,0,1,79,,,1604948405,1604948405,1,0
2,82,1,active,False,0,27,0,1,1604947681,1,0,1,82,,,1604948405,1604948405,0,1
3,83,0,active,False,51,11,0,1,1604946816,1,0,1,83,,,1604948405,1604948405,5,0
4,116,0,out_of_service,False,0,0,0,0,86400,0,0,0,116,,,1604948405,1604948405,0,0
5,119,0,active,False,8,45,0,1,1604946794,1,0,1,119,,,1604948405,1604948405,0,2
6,120,0,active,False,17,1,1,1,1604947727,1,0,1,120,,,1604948405,1604948405,0,1
7,127,1,active,False,25,5,1,1,1604948237,1,0,1,127,,,1604948405,1604948405,0,2
8,128,1,active,False,20,35,1,1,1604948092,1,0,1,128,,,1604948405,1604948405,1,0
9,143,0,active,False,16,7,1,1,1604947894,1,0,1,143,,,1604948405,1604948405,0,1
10,144,0,active,False,3,53,2,1,1604948274,1,0,1,144,,,1604948405,1604948405,1,0
11,146,3,active,False,3,36,0,1,1604948220,1,0,1,146,,,1604948405,1604948405,2,0
12,150,2,active,False,37,15,3,1,1604948000,1,0,1,150,,,1604948405,1604948405,0,4
13,151,0,active,True,2,27,4,1,1604948320,1,0,1,151,,,1604948405,1604948405,3,0
14,152,8,active,False,3,46,0,1,1604948170,1,0,1,152,,,1604948405,1604948405,1,0
15,157,0,active,False,12,10,1,1,1604948382,1,0,1,157,,,1604948405,1604948405,0,3
16,161,5,active,False,5,30,0,1,1604948338,1,0,1,161,,,1604948405,1604948405,3,0
17,164,2,active,False,17,28,2,1,1604948268,1,0,1,164,,,1604948405,1604948405,0,3
18,168,1,active,False,6,41,0,1,1604948261,1,0,1,168,,,1604948405,1604948405,1,0
