,is_renting,last_reported,num_docks_available,num_bikes_disabled,station_id,num_bikes_available,is_installed,is_returning,station_status,eightd_has_available_keys,num_ebikes_available,legacy_id,num_docks_disabled,valet,eightd_active_station_services,starttime,timestamp,demand,supply
1170,1,1605215319,29,0,4188,2,1,1,active,False,1,4188,0,,,1605218405,1605218405,0,0
1171,1,1605217877,17,1,4189,1,1,1,active,False,1,4189,0,,,1605218405,1605218405,0,0
1172,1,1605217255,19,0,4190,0,1,1,active,False,0,4190,0,,,1605218405,1605218405,0,0
1173,1,1605197355,19,0,4191,1,1,1,active,False,1,4191,0,,,1605218405,1605218405,0,0
1174,1,1605204419,11,0,4192,8,1,1,active,False,1,4192,0,,,1605218405,1605218405,0,1
1175,1,1605210737,18,1,4193,2,1,1,active,False,0,4193,0,,,1605218405,1605218405,1,0
1176,1,1605212601,19,0,4194,11,1,1,active,False,0,4194,0,,,1605218405,1605218405,0,0
1177,1,1605173797,12,0,4195,18,1,1,active,False,1,4195,0,,,1605218405,1605218405,1,0
1178,1,1605215489,13,1,4198,7,1,1,active,False,2,4198,0,,,1605218405,1605218405,0,1
1179,1,1605216636,14,0,4199,7,1,1,active,False,1,4199,0,,,1605218405,1605218405,0,0
1180,1,1605174997,23,1,4200,3,1,1,active,False,1,4200,0,,,1605218405,1605218405,0,0
1181,1,1605217675,12,0,4201,9,1,1,active,False,3,4201,0,,,1605218405,1605218405,0,1
1182,1,1605217969,11,1,4202,7,1,1,active,False,2,4202,0,,,1605218405,1605218405,0,0
1183,1,1605217116,19,0,4204,0,1,1,active,False,0,4204,0,,,1605218405,1605218405,0,0
1184,1,1605212007,7,0,4205,12,1,1,active,False,1,4205,0,,,1605218405,1605218405,0,0
1185,1,1605200889,9,0,4206,18,1,1,active,False,5,4206,0,,,1605218405,1605218405,0,0
1186,1,1605173797,12,0,4207,7,1,1,active,False,3,4207,0,,,1605218405,1605218405,0,0
1187,1,1605202450,14,0,4208,5,1,1,active,False,0,4208,0,,,1605218405,1605218405,0,0
1188,1,1605214501,16,0,4209,2,1,1,active,False,1,4209,0,,,1605218405,1605218405,0,0
1189,1,1605216821,22,0,4210,2,1,1,active,False,0,4210,0,,,1605218405,1605218405,0,0
1190,1,1605193670,18,0,4211,1,1,1,active,False,0,4211,0,,,1605218405,1605218405,0,0
1191,1,1605214772,18,0,4212,1,1,1,active,False,1,4212,0,,,1605218405,1605218405,0,0
1192,1,1605212192,19,0,4213,0,1,1,active,False,0,4213,0,,,1605218405,1605218405,0,0
