,eightd_has_available_keys,is_installed,is_renting,is_returning,last_reported,legacy_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,station_status,starttime,timestamp,demand,supply
0,False,1,1,1,1607197883,72,18,0,37,0,10,72,active,1607198400,1607198400,0,2
1,False,1,1,1,1607198084,79,14,1,18,0,1,79,active,1607198400,1607198400,5,0
2,False,1,1,1,1607197632,82,17,1,9,0,1,82,active,1607198400,1607198400,0,1
3,False,1,1,1,1607198137,83,54,0,8,0,1,83,active,1607198400,1607198400,0,1
4,False,1,1,1,1607197851,116,15,0,34,0,0,116,active,1607198400,1607198400,1,0
5,False,1,1,1,1607196567,119,31,1,21,0,0,119,active,1607198400,1607198400,0,1
6,False,1,1,1,1607198347,120,1,1,17,0,1,120,active,1607198400,1607198400,1,0
7,False,1,1,1,1607198223,127,16,0,15,0,1,127,active,1607198400,1607198400,4,0
8,False,1,1,1,1607198367,128,39,4,13,0,4,128,active,1607198400,1607198400,4,0
9,False,1,1,1,1607197726,143,2,1,21,0,0,143,active,1607198400,1607198400,5,0
10,False,1,1,1,1607198245,144,42,3,13,0,0,144,active,1607198400,1607198400,1,0
11,False,1,1,1,1607198349,146,25,2,12,0,1,146,active,1607198400,1607198400,0,0
12,False,1,1,1,1607197880,150,3,1,51,0,0,150,active,1607198400,1607198400,0,2
13,True,1,1,1,1607198388,151,19,0,14,0,8,151,active,1607198400,1607198400,0,6
14,False,1,1,1,1607196829,152,34,1,14,0,0,152,active,1607198400,1607198400,1,0
15,False,1,1,1,1607197051,157,19,0,3,1,4,157,active,1607198400,1607198400,0,3
16,False,1,0,0,1607198329,161,34,0,1,0,6,161,active,1607198400,1607198400,1,0
17,False,1,1,1,1607197750,164,20,1,25,0,0,164,active,1607198400,1607198400,0,3
18,False,1,1,1,1607198265,168,41,1,5,0,9,168,active,1607198400,1607198400,3,0
19,False,1,1,1,1607197942,173,18,1,51,0,0,173,active,1607198400,1607198400,0,3
20,False,1,1,1,1607196509,174,9,0,26,0,0,174,active,1607198400,1607198400,0,2
21,False,1,1,1,1607198037,212,26,1,33,0,3,212,active,1607198400,1607198400,4,0
22,False,1,1,1,1607196714,216,3,0,34,0,0,216,active,1607198400,1607198400,0,1
23,False,1,1,1,1607196844,217,25,0,14,0,2,217,active,1607198400,1607198400,2,0
24,False,1,1,1,1607197881,223,32,0,1,0,10,223,active,1607198400,1607198400,0,6
25,True,1,1,1,1607198311,224,2,1,27,0,0,224,active,1607198400,1607198400,0,2
26,False,1,1,1,1607197382,228,30,0,25,0,0,228,active,1607198400,1607198400,0,3
27,False,1,1,1,1607198191,229,17,1,5,0,9,229,active,1607198400,1607198400,4,0
28,False,1,1,1,1607198387,236,26,5,20,0,1,236,active,1607198400,1607198400,3,0
29,False,1,1,1,1607198383,237,6,0,33,0,0,237,active,1607198400,1607198400,20,0
30,False,1,1,1,1607198317,238,10,1,20,0,5,238,active,1607198400,1607198400,2,0
31,False,1,1,1,1607198144,239,14,1,16,0,3,239,active,1607198400,1607198400,2,0
32,False,1,1,1,1607196926,241,6,0,17,0,1,241,active,1607198400,1607198400,4,0
33,False,1,1,1,1607198337,242,34,0,12,0,2,242,active,1607198400,1607198400,0,1
34,False,1,1,1,1607198270,244,5,2,24,0,1,244,active,1607198400,1607198400,0,0
35,True,1,1,1,1607197893,245,5,3,15,0,1,245,active,1607198400,1607198400,0,1
36,False,1,1,1,1607198363,247,50,3,26,0,0,247,active,1607198400,1607198400,7,0
37,False,1,1,1,1607198020,248,67,0,24,0,0,248,active,1607198400,1607198400,3,0
38,False,1,1,1,1607197050,249,20,0,7,0,0,249,active,1607198400,1607198400,0,3
39,False,1,1,1,1607198369,250,20,3,17,0,6,250,active,1607198400,1607198400,0,0
40,False,1,1,1,1607198367,251,5,1,21,0,0,251,active,1607198400,1607198400,16,0
41,False,1,1,1,1607198170,252,31,0,2,0,3,252,active,1607198400,1607198400,0,4
42,False,1,1,1,1607198369,254,19,2,26,0,0,254,active,1607198400,1607198400,0,7
43,False,1,1,1,1607198055,257,63,9,7,0,8,257,active,1607198400,1607198400,0,0
44,False,1,1,1,1607197882,258,3,0,20,0,1,258,active,1607198400,1607198400,0,1
45,False,1,1,1,1607198138,259,19,0,20,0,3,259,active,1607198400,1607198400,0,2
46,False,1,1,1,1607197305,260,29,0,4,0,0,260,active,1607198400,1607198400,0,5
47,False,1,1,1,1607198377,261,4,0,37,0,0,261,active,1607198400,1607198400,0,2
48,False,1,1,1,1607198209,262,13,0,11,0,1,262,active,1607198400,1607198400,0,4
49,False,1,1,1,1607198321,264,0,19,0,8,0,264,active,1607198400,1607198400,0,0
50,False,1,1,1,1607198174,265,13,1,21,0,0,265,active,1607198400,1607198400,1,0
51,False,1,1,1,1607198154,267,7,2,69,0,1,267,active,1607198400,1607198400,0,1
52,False,1,1,1,1607198229,268,7,1,19,0,0,268,active,1607198400,1607198400,2,0
53,False,1,1,1,1607197528,270,5,1,17,0,1,270,active,1607198400,1607198400,0,4
54,False,1,1,1,1607197748,274,20,1,10,0,0,274,active,1607198400,1607198400,0,0
55,False,1,1,1,1607198189,275,4,1,14,0,1,275,active,1607198400,1607198400,0,1
56,False,1,1,1,1607196625,276,11,0,14,0,0,276,active,1607198400,1607198400,0,3
57,False,1,1,1,1607197643,278,5,0,14,0,0,278,active,1607198400,1607198400,2,0
58,False,0,0,0,1606931963,280,0,0,1,0,0,280,out_of_service,1607198400,1607198400,0,0
59,True,1,1,1,1607198158,281,47,1,18,0,5,281,active,1607198400,1607198400,3,0
60,False,1,1,1,1607198062,282,7,2,18,0,2,282,active,1607198400,1607198400,0,2
61,False,1,1,1,1607198375,284,27,3,21,0,6,284,active,1607198400,1607198400,2,0
62,True,1,1,1,1607198339,285,50,1,2,0,10,285,active,1607198400,1607198400,1,0
63,False,1,1,1,1607197416,289,1,2,16,0,1,289,active,1607198400,1607198400,0,1
64,False,1,1,1,1607197572,291,10,1,9,0,0,291,active,1607198400,1607198400,0,0
65,False,1,1,1,1607198354,293,35,1,18,0,4,293,active,1607198400,1607198400,0,0
66,False,1,1,1,1607198264,295,7,0,17,0,1,295,active,1607198400,1607198400,0,1
67,False,1,1,1,1607198383,297,63,1,13,0,2,297,active,1607198400,1607198400,1,0
68,False,1,1,1,1607197812,298,26,1,8,0,2,298,active,1607198400,1607198400,0,3
69,False,1,1,1,1607198355,301,21,0,37,0,0,301,active,1607198400,1607198400,0,4
