,is_installed,is_renting,station_status,num_docks_available,num_docks_disabled,last_reported,eightd_has_available_keys,num_bikes_available,is_returning,legacy_id,num_ebikes_available,station_id,num_bikes_disabled,eightd_active_station_services,valet,starttime,timestamp,demand,supply
0,1,1,active,45,0,1604959132,False,7,1,72,0,72,3,,,1604959200,1604959200,0,0
1,1,1,active,0,0,1604958994,False,32,1,79,0,79,1,,,1604959200,1604959200,0,5
2,1,1,active,2,0,1604959115,False,25,1,82,0,82,0,,,1604959200,1604959200,1,0
3,1,1,active,48,0,1604959085,False,13,1,83,0,83,1,,,1604959200,1604959200,0,0
4,0,0,out_of_service,0,0,86400,False,0,0,116,0,116,0,,,1604959200,1604959200,0,0
5,1,1,active,12,0,1604958003,False,41,1,119,0,119,0,,,1604959200,1604959200,0,1
6,1,1,active,18,0,1604959038,False,0,1,120,0,120,1,,,1604959200,1604959200,5,0
7,1,1,active,24,0,1604959114,False,7,1,127,0,127,0,,,1604959200,1604959200,7,0
8,1,1,active,14,0,1604959036,False,37,1,128,0,128,5,,,1604959200,1604959200,10,0
9,1,1,active,15,0,1604959108,False,8,1,143,0,143,1,,,1604959200,1604959200,7,0
10,1,1,active,1,0,1604958547,False,56,1,144,0,144,1,,,1604959200,1604959200,1,0
11,1,1,active,11,0,1604959155,False,27,1,146,0,146,1,,,1604959200,1604959200,2,0
12,1,1,active,43,0,1604959189,False,8,1,150,0,150,4,,,1604959200,1604959200,0,0
13,1,1,active,0,0,1604958984,True,28,1,151,2,151,5,,,1604959200,1604959200,0,7
14,1,1,active,3,0,1604957922,False,45,1,152,4,152,1,,,1604959200,1604959200,0,4
15,1,1,active,14,0,1604959024,False,8,1,157,1,157,1,,,1604959200,1604959200,3,0
16,1,1,active,2,0,1604959128,False,33,1,161,2,161,0,,,1604959200,1604959200,0,4
17,1,1,active,20,0,1604959116,False,25,1,164,0,164,2,,,1604959200,1604959200,0,1
18,1,1,active,6,0,1604958873,False,41,1,168,0,168,0,,,1604959200,1604959200,0,6
19,1,1,active,46,0,1604959182,False,21,1,173,0,173,3,,,1604959200,1604959200,0,9
20,1,1,active,23,0,1604959043,False,7,1,174,0,174,0,,,1604959200,1604959200,1,0
21,1,1,active,3,0,1604959154,False,54,1,212,1,212,3,,,1604959200,1604959200,0,3
22,1,1,active,27,0,1604958742,False,9,1,216,0,216,1,,,1604959200,1604959200,0,3
23,1,1,active,3,0,1604958746,False,33,1,217,0,217,3,,,1604959200,1604959200,0,7
24,1,1,active,10,0,1604959091,False,20,1,223,0,223,3,,,1604959200,1604959200,2,0
25,1,1,active,16,0,1604959135,True,13,1,224,1,224,1,,,1604959200,1604959200,3,0
26,1,1,active,17,0,1604958538,False,37,1,228,0,228,1,,,1604959200,1604959200,0,2
27,1,1,active,1,0,1604959138,False,19,1,229,0,229,3,,,1604959200,1604959200,0,3
28,1,1,active,19,0,1604959185,False,27,1,236,2,236,1,,,1604959200,1604959200,4,0
29,1,1,active,31,0,1604959131,False,7,1,237,2,237,1,,,1604959200,1604959200,0,0
30,1,1,active,7,0,1604958959,False,23,1,238,1,238,1,,,1604959200,1604959200,0,7
31,1,1,active,7,0,1604957498,False,23,1,239,0,239,1,,,1604959200,1604959200,0,1
32,1,1,active,8,0,1604959141,False,13,1,241,0,241,2,,,1604959200,1604959200,0,3
33,1,1,active,2,0,1604959139,False,44,1,242,1,242,0,,,1604959200,1604959200,0,5
34,1,1,active,24,0,1604958958,False,4,1,244,0,244,3,,,1604959200,1604959200,0,1
35,1,1,active,5,0,1604958850,False,18,1,245,0,245,0,,,1604959200,1604959200,0,2
36,1,1,active,38,0,1604958913,False,16,1,247,0,247,1,,,1604959200,1604959200,8,0
