,eightd_active_station_services,eightd_has_available_keys,is_installed,is_renting,is_returning,last_reported,legacy_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,station_status,valet,starttime,timestamp,demand,supply
0,,False,1,1,1,1606092733,72,13,2,40,0,1,72,active,,1606093200,1606093200,2,0
1,,False,1,1,1,1606088986,79,33,0,0,0,3,79,active,,1606093200,1606093200,0,1
2,,False,1,1,1,1606088977,82,26,1,0,0,1,82,active,,1606093200,1606093200,0,1
3,,False,1,1,1,1606090331,83,44,0,17,0,0,83,active,,1606093200,1606093200,0,0
4,,False,0,0,0,86400,116,0,0,0,0,0,116,out_of_service,,1606093200,1606093200,0,0
5,,False,1,1,1,1606091185,119,51,1,1,0,1,119,active,,1606093200,1606093200,0,1
6,,False,1,1,1,1606092417,120,2,0,17,0,0,120,active,,1606093200,1606093200,1,0
7,,False,1,1,1,1606090004,127,30,1,0,0,0,127,active,,1606093200,1606093200,1,0
8,,False,1,1,1,1606092716,128,54,2,0,0,4,128,active,,1606093200,1606093200,0,2
9,,False,1,1,1,1606090530,143,4,0,20,0,0,143,active,,1606093200,1606093200,0,0
10,,False,1,1,1,1606092812,144,54,2,2,0,0,144,active,,1606093200,1606093200,0,1
11,,False,1,1,1,1606092914,146,36,2,1,0,4,146,active,,1606093200,1606093200,0,2
12,,False,1,1,1,1606092149,150,45,1,9,0,3,150,active,,1606093200,1606093200,3,0
13,,True,1,1,1,1606093145,151,21,1,11,0,0,151,active,,1606093200,1606093200,0,2
14,,False,1,1,1,1606087052,152,47,0,2,0,1,152,active,,1606093200,1606093200,0,0
15,,False,1,1,1,1606091947,157,20,0,2,1,1,157,active,,1606093200,1606093200,2,0
16,,False,1,1,1,1606091233,161,31,4,0,0,1,161,active,,1606093200,1606093200,0,1
17,,False,1,1,1,1606092107,164,8,3,36,0,0,164,active,,1606093200,1606093200,0,2
18,,False,1,1,1,1606092650,168,39,1,7,0,0,168,active,,1606093200,1606093200,0,0
19,,False,1,1,1,1606092532,173,1,0,69,0,1,173,active,,1606093200,1606093200,6,0
20,,False,1,1,1,1606092998,174,18,1,16,0,5,174,active,,1606093200,1606093200,0,2
21,,False,1,1,1,1606091676,212,60,0,0,0,1,212,active,,1606093200,1606093200,0,2
22,,False,1,1,1,1606091454,216,1,1,35,0,0,216,active,,1606093200,1606093200,1,0
23,,False,1,1,1,1606091021,217,27,1,11,0,0,217,active,,1606093200,1606093200,0,1
24,,False,1,1,1,1606092976,223,32,1,0,0,0,223,active,,1606093200,1606093200,0,0
25,,True,1,1,1,1606092259,224,10,0,20,0,4,224,active,,1606093200,1606093200,3,0
26,,False,1,1,1,1606092078,228,2,1,50,2,0,228,active,,1606093200,1606093200,0,0
27,,False,1,1,1,1606092609,229,20,3,0,0,2,229,active,,1606093200,1606093200,0,0
28,,False,1,1,1,1606092994,236,0,47,0,4,0,236,active,,1606093200,1606093200,0,0
29,,False,1,1,1,1606093113,237,25,3,11,0,12,237,active,,1606093200,1606093200,2,0
30,,False,1,1,1,1606092536,238,29,0,2,0,0,238,active,,1606093200,1606093200,2,0
31,,False,1,1,1,1606092936,239,0,1,30,0,0,239,active,,1606093200,1606093200,0,0
32,,False,1,1,1,1606093027,241,2,1,20,0,0,241,active,,1606093200,1606093200,0,0
33,,False,1,1,1,1606089365,242,38,1,7,0,0,242,active,,1606093200,1606093200,0,1
34,,False,1,1,1,1606092225,244,4,4,23,0,1,244,active,,1606093200,1606093200,1,0
35,,True,1,1,1,1606086267,245,4,1,18,0,0,245,active,,1606093200,1606093200,0,0
36,,False,1,1,1,1606089972,247,54,1,0,0,8,247,active,,1606093200,1606093200,0,0
37,,False,1,1,1,1606091582,248,97,0,2,0,0,248,active,,1606093200,1606093200,0,0
38,,False,1,1,1,1606091813,249,26,1,0,0,1,249,active,,1606093200,1606093200,0,1
39,,False,1,1,1,1606093057,250,36,1,3,0,0,250,active,,1606093200,1606093200,2,0
40,,False,1,1,1,1606092760,251,19,1,7,0,0,251,active,,1606093200,1606093200,0,2
41,,False,1,1,1,1606091783,252,32,1,0,0,1,252,active,,1606093200,1606093200,0,2
42,,False,1,1,1,1606087017,254,46,1,0,0,1,254,active,,1606093200,1606093200,0,0
43,,False,1,1,1,1606092232,257,36,2,1,0,1,257,active,,1606093200,1606093200,0,0
44,,False,1,1,1,1606093053,258,9,3,11,0,0,258,active,,1606093200,1606093200,1,0
45,,False,1,1,1,1606087849,259,37,1,1,0,7,259,active,,1606093200,1606093200,0,0
46,,False,1,1,1,1606091786,260,30,2,1,0,0,260,active,,1606093200,1606093200,1,0
47,,False,1,1,1,1606092118,261,18,2,21,0,0,261,active,,1606093200,1606093200,0,0
48,,False,1,1,1,1606091714,262,7,1,16,0,1,262,active,,1606093200,1606093200,2,0
49,,False,1,1,1,1606092853,264,27,0,0,0,3,264,active,,1606093200,1606093200,0,0
50,,False,1,1,1,1606092625,265,33,1,1,0,6,265,active,,1606093200,1606093200,0,0
51,,False,1,0,0,1606028891,267,0,0,70,0,0,267,active,,1606093200,1606093200,0,0
52,,False,1,1,1,1606092992,268,19,0,8,0,0,268,active,,1606093200,1606093200,0,3
53,,False,1,1,1,1606092395,270,18,1,4,0,3,270,active,,1606093200,1606093200,0,1
54,,False,1,1,1,1606092123,274,4,0,27,0,0,274,active,,1606093200,1606093200,0,0
55,,False,1,1,1,1606092743,275,5,1,13,0,0,275,active,,1606093200,1606093200,0,2
56,,False,1,1,1,1606093184,276,24,1,0,0,0,276,active,,1606093200,1606093200,0,0
57,,False,1,1,1,1606093066,278,13,2,4,0,4,278,active,,1606093200,1606093200,1,0
58,,False,0,0,0,86400,280,0,0,0,0,0,280,out_of_service,,1606093200,1606093200,0,0
59,,True,1,1,1,1606092777,281,29,2,35,0,1,281,active,,1606093200,1606093200,4,0
60,,False,1,1,1,1606092404,282,20,3,4,0,1,282,active,,1606093200,1606093200,2,0
61,,False,1,1,1,1606092597,284,35,1,15,0,9,284,active,,1606093200,1606093200,4,0
62,,True,1,1,1,1606093175,285,44,1,8,0,1,285,active,,1606093200,1606093200,0,2
63,,False,1,1,1,1606090622,289,4,0,15,0,2,289,active,,1606093200,1606093200,0,2
64,,False,1,1,1,1606090885,291,20,0,0,0,3,291,active,,1606093200,1606093200,0,0
65,,False,1,0,0,1606091320,293,54,0,0,0,7,293,active,,1606093200,1606093200,0,0
66,,False,1,1,1,1606093152,295,19,3,2,0,1,295,active,,1606093200,1606093200,3,0
67,,False,1,1,1,1606092563,297,55,1,21,0,1,297,active,,1606093200,1606093200,0,3
68,,False,1,1,1,1606090691,298,23,0,12,0,1,298,active,,1606093200,1606093200,0,0
69,,False,1,1,1,1606093173,301,49,1,8,0,3,301,active,,1606093200,1606093200,1,0
70,,False,1,1,1,1606091991,302,25,3,9,0,6,302,active,,1606093200,1606093200,6,0
71,,False,1,1,1,1606092005,303,42,0,25,0,0,303,active,,1606093200,1606093200,0,3
72,,False,1,1,1,1606093046,304,24,2,7,0,3,304,active,,1606093200,1606093200,0,0
73,,False,1,1,1,1606093063,305,8,1,24,0,4,305,active,,1606093200,1606093200,0,2
74,,False,1,1,1,1606092980,307,23,0,7,0,1,307,active,,1606093200,1606093200,0,0
75,,False,1,1,1,1606092765,308,44,0,4,0,2,308,active,,1606093200,1606093200,2,0
76,,False,1,1,1,1606092150,309,38,0,3,0,2,309,active,,1606093200,1606093200,0,4
77,,False,1,1,1,1606085711,310,59,3,4,0,0,310,active,,1606093200,1606093200,1,0
78,,False,1,1,1,1606092844,311,31,0,0,0,6,311,active,,1606093200,1606093200,0,4
79,,False,1,1,1,1606092415,312,28,1,4,0,1,312,active,,1606093200,1606093200,0,3
80,,False,1,1,1,1606089171,313,18,0,37,0,0,313,active,,1606093200,1606093200,0,0
81,,False,1,1,1,1606091609,315,25,3,1,0,2,315,active,,1606093200,1606093200,0,0
82,,False,1,1,1,1606093054,316,6,0,37,0,1,316,active,,1606093200,1606093200,1,0
83,,False,0,0,0,86400,317,0,0,0,0,0,317,out_of_service,,1606093200,1606093200,0,0
84,,False,1,1,1,1606092388,319,15,2,16,0,0,319,active,,1606093200,1606093200,0,1
85,,False,1,1,1,1606093055,320,32,2,1,0,0,320,active,,1606093200,1606093200,0,1
