,num_ebikes_available,is_installed,num_bikes_disabled,num_docks_available,legacy_id,is_renting,station_status,num_bikes_available,eightd_has_available_keys,last_reported,is_returning,num_docks_disabled,station_id,starttime,timestamp,demand,supply
194,1,1,0,64,468,1,active,1,False,1604906547,1,0,468,1604908795,1604908795,22,0
195,0,1,1,55,469,1,active,1,False,1604904737,1,0,469,1604908795,1604908795,0,0
196,0,1,1,2,470,1,active,69,False,1604904699,1,0,470,1604908795,1604908795,0,0
197,4,1,2,11,471,1,active,18,False,1604902327,1,0,471,1604908795,1604908795,0,0
198,1,1,3,39,472,1,active,13,False,1604906703,1,0,472,1604908795,1604908795,2,0
199,4,1,2,1,473,1,active,47,False,1604905283,1,0,473,1604908795,1604908795,0,0
200,3,1,0,42,474,1,active,14,False,1604904909,1,0,474,1604908795,1604908795,0,0
201,4,1,2,37,476,1,active,26,False,1604904737,1,0,476,1604908795,1604908795,0,0
202,6,1,2,10,477,1,active,59,False,1604905531,1,0,477,1604908795,1604908795,0,1
203,0,1,3,1,478,1,active,33,False,1604907638,1,0,478,1604908795,1604908795,1,0
204,0,1,1,4,479,1,active,26,False,1604905448,1,0,479,1604908795,1604908795,0,1
205,0,1,3,4,480,1,active,22,False,1604901616,1,0,480,1604908795,1604908795,0,0
206,1,1,1,2,481,1,active,22,False,1604902326,1,0,481,1604908795,1604908795,0,0
207,0,1,6,3,482,1,active,70,False,1604904047,1,0,482,1604908795,1604908795,1,0
208,2,1,3,1,483,1,active,30,False,1604908221,1,0,483,1604908795,1604908795,1,0
209,0,1,0,46,484,1,active,0,False,1604905593,1,0,484,1604908795,1604908795,0,0
210,1,1,1,38,485,1,active,1,False,1604907654,1,0,485,1604908795,1604908795,0,0
211,1,1,1,39,486,1,active,1,False,1604904736,1,0,486,1604908795,1604908795,0,0
212,2,1,2,1,487,1,active,32,False,1604904736,1,0,487,1604908795,1604908795,0,0
213,2,1,4,15,489,1,active,30,False,1604904736,1,0,489,1604908795,1604908795,0,1
214,4,1,1,61,490,1,active,4,False,1604907234,1,0,490,1604908795,1604908795,0,0
215,1,1,0,41,492,1,active,27,False,1604905554,1,0,492,1604908795,1604908795,0,0
216,1,1,1,29,493,1,active,4,False,1604907040,1,0,493,1604908795,1604908795,0,0
217,0,1,4,30,494,1,active,32,False,1604908354,1,0,494,1604908795,1604908795,0,1
218,0,1,2,3,495,1,active,34,False,1604905113,1,0,495,1604908795,1604908795,0,0
219,0,1,1,53,496,1,active,11,False,1604905893,1,0,496,1604908795,1604908795,0,0
220,1,1,3,36,497,1,active,27,False,1604905338,1,0,497,1604908795,1604908795,0,0
221,12,1,0,22,499,1,active,14,True,1604908202,1,0,499,1604908795,1604908795,0,0
222,0,1,0,45,500,1,active,7,False,1604907198,1,0,500,1604908795,1604908795,0,0
223,6,1,0,69,501,1,active,14,False,1604904737,1,0,501,1604908795,1604908795,0,0
224,2,1,2,0,502,1,active,34,False,1604899157,1,0,502,1604908795,1604908795,0,0
225,0,1,2,9,503,1,active,20,False,1604904737,1,0,503,1604908795,1604908795,0,0
226,5,1,2,18,504,1,active,34,False,1604906132,1,0,504,1604908795,1604908795,0,0
227,4,1,2,34,505,1,active,16,False,1604905669,1,0,505,1604908795,1604908795,0,0
228,5,1,3,0,507,1,active,42,False,1604908325,1,0,507,1604908795,1604908795,0,0
229,1,1,3,1,508,1,active,21,False,1604907504,1,0,508,1604908795,1604908795,0,0
230,1,1,2,0,509,1,active,59,False,1604903532,1,0,509,1604908795,1604908795,0,0
231,0,1,0,55,510,1,active,0,False,1604898308,1,0,510,1604908795,1604908795,0,0
232,0,1,0,15,513,1,active,14,False,1604903038,1,0,513,1604908795,1604908795,0,0
233,2,1,1,18,514,1,active,33,True,1604904738,1,0,514,1604908795,1604908795,0,0
234,5,1,4,24,515,1,active,51,False,1604906348,1,0,515,1604908795,1604908795,1,0
235,1,1,2,18,516,1,active,11,False,1604907416,1,0,516,1604908795,1604908795,0,0
236,0,1,0,47,517,1,active,22,False,1604905288,1,0,517,1604908795,1604908795,0,0
237,0,1,2,66,519,1,active,1,False,1604904402,1,0,519,1604908795,1604908795,0,0
238,1,1,1,48,522,1,active,2,False,1604906937,1,0,522,1604908795,1604908795,0,1
239,0,1,2,54,525,1,active,0,False,1604904740,1,0,525,1604908795,1604908795,0,0
240,6,1,0,27,526,1,active,13,False,1604904404,1,0,526,1604908795,1604908795,0,0
241,3,1,2,21,528,1,active,16,False,1604905547,1,0,528,1604908795,1604908795,0,0
242,2,1,4,18,529,1,active,19,False,1604903531,1,0,529,1604908795,1604908795,0,0
243,2,1,4,6,530,1,active,14,False,1604907690,1,0,530,1604908795,1604908795,0,0
244,0,1,0,1,531,1,active,59,False,1604906129,1,0,531,1604908795,1604908795,1,0
245,2,1,9,2,532,1,active,32,False,1604904335,1,0,532,1604908795,1604908795,0,0
246,0,1,0,45,533,1,active,1,False,1604904738,1,0,533,1604908795,1604908795,0,0
247,1,1,3,0,534,1,active,28,False,1604902327,1,0,534,1604908795,1604908795,0,0
248,0,1,0,15,536,1,active,13,False,1604905515,1,0,536,1604908795,1604908795,0,1
249,1,1,1,11,539,1,active,19,False,1604908630,1,0,539,1604908795,1604908795,0,0
250,0,1,0,22,540,1,active,32,False,1604906045,1,0,540,1604908795,1604908795,0,0
251,4,1,1,2,545,1,active,24,False,1604906369,1,0,545,1604908795,1604908795,0,0
252,1,1,0,25,546,1,active,20,False,1604907293,1,0,546,1604908795,1604908795,0,0
253,0,1,0,23,2000,1,active,34,False,1604907393,1,0,2000,1604908795,1604908795,0,0
254,1,1,1,14,2002,1,active,12,False,1604906230,1,0,2002,1604908795,1604908795,0,0
255,5,1,1,24,2003,1,active,29,False,1604904738,1,0,2003,1604908795,1604908795,0,0
256,0,1,0,3,2005,1,active,9,False,1604904737,1,0,2005,1604908795,1604908795,0,0
257,6,1,3,0,2006,1,active,46,True,1604906000,1,0,2006,1604908795,1604908795,0,0
258,0,1,1,0,2008,1,active,23,True,1604903766,1,0,2008,1604908795,1604908795,0,0
259,1,1,0,0,2009,1,active,35,False,1604903531,1,0,2009,1604908795,1604908795,0,1
260,1,1,1,25,2010,1,active,39,False,1604907574,1,0,2010,1604908795,1604908795,0,1
261,1,1,1,24,2012,1,active,10,False,1604904742,1,0,2012,1604908795,1604908795,0,0
262,0,1,1,38,2017,1,active,0,False,1604904736,1,0,2017,1604908795,1604908795,0,0
263,8,1,5,36,2021,1,active,23,False,1604906812,1,1,2021,1604908795,1604908795,0,0
264,0,1,0,25,2022,1,active,8,False,1604904737,1,0,2022,1604908795,1604908795,0,0
265,1,1,1,13,3016,1,active,40,False,1604907147,1,0,3016,1604908795,1604908795,0,0
