,station_status,eightd_has_available_keys,legacy_id,station_id,is_installed,is_returning,last_reported,num_docks_disabled,num_bikes_available,is_renting,num_docks_available,num_ebikes_available,num_bikes_disabled,eightd_active_station_services,valet,starttime,timestamp,demand,supply
482,active,True,3331,3331,1,1,1604629894,0,9,1,28,1,2,,,1604631600,1604631600,0,1
483,active,False,3332,3332,1,1,1604622003,0,18,1,0,0,1,,,1604631600,1604631600,0,0
484,active,False,3333,3333,1,1,1604614842,0,21,1,0,1,0,,,1604631600,1604631600,0,0
485,active,False,3335,3335,1,1,1604628210,0,28,1,0,1,0,,,1604631600,1604631600,0,1
486,active,False,3336,3336,1,1,1604631427,0,7,1,32,1,2,,,1604631600,1604631600,0,0
487,active,False,3337,3337,1,1,1604621695,0,23,1,0,3,0,,,1604631600,1604631600,0,0
488,active,False,3338,3338,1,1,1604630916,0,30,1,1,1,0,,,1604631600,1604631600,0,0
489,active,False,3339,3339,1,1,1604631438,0,18,1,5,2,0,,,1604631600,1604631600,0,1
490,active,False,3340,3340,1,1,1604614301,0,21,1,0,0,0,,,1604631600,1604631600,0,0
491,active,False,3342,3342,1,1,1604622712,0,23,1,0,0,0,,,1604631600,1604631600,0,0
492,active,False,3343,3343,1,1,1604629234,0,13,1,9,8,1,,,1604631600,1604631600,0,7
493,active,False,3344,3344,1,1,1604628639,0,8,1,11,1,0,,,1604631600,1604631600,2,0
494,active,False,3345,3345,1,1,1604630445,0,0,1,34,0,1,,,1604631600,1604631600,1,0
495,active,False,3346,3346,1,1,1604630131,0,0,1,29,0,0,,,1604631600,1604631600,3,0
496,active,False,3347,3347,1,1,1604627260,0,21,1,0,0,0,,,1604631600,1604631600,0,0
497,active,False,3348,3348,1,1,1604625517,0,14,1,5,0,0,,,1604631600,1604631600,0,0
498,active,False,3349,3349,1,1,1604631103,1,5,1,23,2,1,,,1604631600,1604631600,0,0
499,active,False,3350,3350,1,1,1604630787,0,19,1,20,7,0,,,1604631600,1604631600,0,0
500,active,False,3351,3351,1,1,1604630991,0,23,1,1,1,1,,,1604631600,1604631600,0,0
501,active,False,3352,3352,1,1,1604629364,0,18,1,3,0,0,,,1604631600,1604631600,0,0
502,active,True,3354,3354,1,1,1604631351,0,6,1,25,1,0,,,1604631600,1604631600,0,3
503,active,False,3355,3355,1,1,1604630960,0,0,1,24,0,1,,,1604631600,1604631600,0,0
504,active,False,3356,3356,1,1,1604631077,0,12,1,9,0,0,,,1604631600,1604631600,0,1
505,active,False,3357,3357,1,1,1604629005,0,10,1,25,2,0,,,1604631600,1604631600,3,0
506,active,False,3358,3358,1,1,1604627426,0,1,1,24,0,0,,,1604631600,1604631600,0,0
507,out_of_service,False,3359,3359,0,0,86400,0,0,0,0,0,0,,,1604631600,1604631600,0,0
508,active,False,3361,3361,1,1,1604630615,0,8,1,13,1,2,,,1604631600,1604631600,0,0
509,active,False,3362,3362,1,1,1604631417,0,9,1,25,0,0,,,1604631600,1604631600,0,0
510,active,False,3363,3363,1,1,1604629758,0,19,1,14,0,0,,,1604631600,1604631600,0,0
511,active,False,3364,3364,1,1,1604631468,0,26,1,1,0,0,,,1604631600,1604631600,0,0
512,active,False,3365,3365,1,1,1604628879,0,4,1,23,0,0,,,1604631600,1604631600,1,0
513,active,False,3366,3366,1,1,1604630573,0,11,1,19,1,1,,,1604631600,1604631600,1,0
514,active,False,3367,3367,1,1,1604629339,0,2,1,37,0,0,,,1604631600,1604631600,0,0
515,active,False,3368,3368,1,1,1604631419,0,18,1,12,3,0,,,1604631600,1604631600,0,1
516,active,False,3369,3369,1,1,1604631596,0,14,1,14,3,1,,,1604631600,1604631600,0,0
517,active,False,3370,3370,1,1,1604631275,0,19,1,6,1,0,,,1604631600,1604631600,0,2
518,active,False,3372,3372,1,1,1604631505,0,2,1,35,1,2,,,1604631600,1604631600,0,1
519,active,False,3373,3373,1,1,1604629958,0,23,1,4,1,0,,,1604631600,1604631600,0,0
520,active,True,3374,3374,1,1,1604631516,0,31,1,2,0,3,,,1604631600,1604631600,0,0
521,active,False,3375,3375,1,1,1604628565,1,10,1,22,2,2,,,1604631600,1604631600,0,3
522,active,False,3376,3376,1,0,1604628814,0,39,0,0,11,0,,,1604631600,1604631600,0,0
523,active,False,3377,3377,1,1,1604630870,0,25,1,0,0,0,,,1604631600,1604631600,0,0
524,active,False,3378,3378,1,1,1604629351,0,3,1,25,1,0,,,1604631600,1604631600,3,0
525,active,False,3379,3379,1,1,1604630144,0,33,1,2,0,0,,,1604631600,1604631600,2,0
526,active,False,3381,3381,1,1,1604631456,0,12,1,8,1,1,,,1604631600,1604631600,0,0
527,active,False,3382,3382,1,1,1604630972,0,27,1,3,2,1,,,1604631600,1604631600,2,0
528,active,False,3383,3383,1,1,1604630388,0,4,1,20,2,1,,,1604631600,1604631600,0,2
529,active,False,3384,3384,1,1,1604628059,0,9,1,16,0,0,,,1604631600,1604631600,0,0
530,active,False,3386,3386,1,1,1604626849,0,4,1,22,0,1,,,1604631600,1604631600,1,0
531,active,False,3387,3387,1,1,1604631454,0,14,1,10,0,1,,,1604631600,1604631600,1,0
532,active,False,3388,3388,1,1,1604631423,0,23,1,1,1,1,,,1604631600,1604631600,0,0
533,active,False,3389,3389,1,1,1604629231,0,10,1,16,1,2,,,1604631600,1604631600,0,1
534,active,False,3390,3390,1,1,1604631445,0,23,1,0,4,1,,,1604631600,1604631600,0,1
535,active,False,3391,3391,1,1,1604631506,0,17,1,8,4,0,,,1604631600,1604631600,3,0
536,active,False,3392,3392,1,1,1604624416,0,18,1,1,0,0,,,1604631600,1604631600,0,0
537,active,False,3393,3393,1,1,1604629363,0,17,1,1,0,1,,,1604631600,1604631600,1,0
538,active,False,3394,3394,1,1,1604625490,0,21,1,0,1,0,,,1604631600,1604631600,0,0
539,active,False,3395,3395,1,1,1604630120,0,15,1,3,0,1,,,1604631600,1604631600,1,0
540,active,False,3396,3396,1,1,1604628189,0,4,1,21,0,0,,,1604631600,1604631600,1,0
541,active,False,3397,3397,1,1,1604630069,0,22,1,1,3,2,,,1604631600,1604631600,0,0
542,active,False,3398,3398,1,1,1604630469,0,20,1,3,1,0,,,1604631600,1604631600,0,1
543,active,False,3399,3399,1,1,1604623945,0,24,1,0,0,0,,,1604631600,1604631600,0,0
544,active,True,3400,3400,1,1,1604628861,0,10,1,13,2,1,,,1604631600,1604631600,2,0
545,active,False,3402,3402,1,1,1604630019,0,15,1,7,0,1,,,1604631600,1604631600,0,0
546,active,False,3403,3403,1,1,1604630865,0,30,1,1,1,0,,,1604631600,1604631600,1,0
547,active,False,3404,3404,1,1,1604626629,0,25,1,2,0,0,,,1604631600,1604631600,0,0
548,active,False,3405,3405,1,1,1604630766,0,18,1,5,0,0,,,1604631600,1604631600,0,0
549,active,False,3407,3407,1,1,1604626970,0,21,1,1,0,1,,,1604631600,1604631600,0,0
550,active,False,3408,3408,1,1,1604631101,0,16,1,9,3,2,,,1604631600,1604631600,0,1
551,active,False,3409,3409,1,1,1604628098,0,28,1,19,1,1,,,1604631600,1604631600,1,0
552,active,False,3410,3410,1,1,1604630654,0,72,1,3,0,2,,,1604631600,1604631600,0,1
553,active,False,3411,3411,1,1,1604628281,0,22,1,3,0,2,,,1604631600,1604631600,0,0
554,active,False,3412,3412,1,1,1604629870,0,5,1,12,0,1,,,1604631600,1604631600,0,0
555,active,False,3414,3414,1,1,1604630961,0,28,1,3,0,2,,,1604631600,1604631600,0,0
556,active,False,3415,3415,1,1,1604628978,0,6,1,18,0,1,,,1604631600,1604631600,3,0
557,active,False,3416,3416,1,1,1604631305,1,1,1,22,0,1,,,1604631600,1604631600,0,0
558,active,False,3417,3417,1,1,1604631553,0,19,1,8,0,0,,,1604631600,1604631600,2,0
559,active,False,3418,3418,1,1,1604629556,0,4,1,27,1,2,,,1604631600,1604631600,0,2
560,active,False,3419,3419,1,1,1604626380,0,25,1,2,1,0,,,1604631600,1604631600,0,3
561,active,False,3420,3420,1,1,1604627705,0,17,1,4,0,0,,,1604631600,1604631600,0,3
562,active,False,3421,3421,1,1,1604626458,0,22,1,0,0,1,,,1604631600,1604631600,0,0
563,active,False,3422,3422,1,1,1604626265,0,19,1,1,0,1,,,1604631600,1604631600,1,0
564,active,True,3423,3423,1,1,1604631179,0,20,1,4,8,5,,,1604631600,1604631600,1,0
565,active,False,3424,3424,1,1,1604631552,0,26,1,1,0,0,,,1604631600,1604631600,1,0
566,active,False,3425,3425,1,1,1604630464,0,29,1,1,2,3,,,1604631600,1604631600,1,0
567,active,False,3429,3429,1,1,1604631307,0,19,1,19,1,1,,,1604631600,1604631600,0,1
568,active,False,3430,3430,1,1,1604629710,0,3,1,22,0,0,,,1604631600,1604631600,0,0
569,active,False,3435,3435,1,1,1604631373,0,12,1,30,1,3,,,1604631600,1604631600,6,0
570,active,False,3436,3436,1,1,1604628717,0,17,1,17,0,1,,,1604631600,1604631600,0,1
