,is_returning,num_docks_available,station_id,num_bikes_disabled,num_ebikes_available,legacy_id,num_docks_disabled,eightd_has_available_keys,num_bikes_available,is_renting,station_status,last_reported,is_installed,starttime,timestamp,demand,supply
98,1,14,336,1,0,336,0,False,21,1,active,1604291763,1,1604293205,1604293205,21,21
99,1,14,340,1,0,340,0,False,12,1,active,1604292176,1,1604293205,1604293205,12,12
100,1,11,341,0,1,341,0,False,8,1,active,1604289812,1,1604293205,1604293205,8,8
101,1,11,342,0,3,342,0,False,18,1,active,1604291683,1,1604293205,1604293205,18,18
102,1,16,343,0,0,343,0,False,7,1,active,1604293173,1,1604293205,1604293205,7,7
103,1,10,344,0,2,344,0,False,13,1,active,1604289251,1,1604293205,1604293205,13,13
104,1,9,346,1,2,346,0,False,17,1,active,1604291536,1,1604293205,1604293205,17,17
105,1,31,347,1,0,347,0,False,22,1,active,1604292365,1,1604293205,1604293205,22,22
106,1,22,349,1,1,349,0,False,38,1,active,1604290539,1,1604293205,1604293205,38,38
107,1,28,350,0,4,350,0,False,19,1,active,1604291675,1,1604293205,1604293205,19,19
108,1,31,351,0,1,351,0,False,8,1,active,1604287815,1,1604293205,1604293205,8,8
109,1,5,353,3,0,353,0,False,19,1,active,1604286746,1,1604293205,1604293205,19,19
110,1,35,354,0,3,354,0,False,12,1,active,1604283706,1,1604293205,1604293205,12,12
111,1,3,355,0,0,355,0,False,40,1,active,1604289854,1,1604293205,1604293205,40,40
112,1,0,356,0,0,356,0,False,23,1,active,1604273989,1,1604293205,1604293205,23,23
113,1,7,358,0,2,358,0,False,43,1,active,1604293157,1,1604293205,1604293205,43,43
114,1,69,359,3,1,359,0,False,6,1,active,1604290798,1,1604293205,1604293205,6,6
115,1,19,360,0,4,360,0,False,20,1,active,1604290257,1,1604293205,1604293205,20,20
116,1,6,361,0,1,361,0,False,37,1,active,1604292789,1,1604293205,1604293205,37,37
117,1,47,362,0,0,362,0,False,10,1,active,1604291622,1,1604293205,1604293205,10,10
118,0,0,363,0,0,363,0,False,0,0,out_of_service,86400,0,1604293205,1604293205,0,0
119,1,17,364,0,5,364,0,False,10,1,active,1604291261,1,1604293205,1604293205,10,10
120,1,21,366,0,0,366,0,False,12,1,active,1604290869,1,1604293205,1604293205,12,12
121,1,28,367,0,0,367,0,False,15,1,active,1604292464,1,1604293205,1604293205,15,15
122,1,31,368,2,2,368,0,False,14,1,active,1604293083,1,1604293205,1604293205,14,14
123,1,16,369,1,0,369,0,False,59,1,active,1604292754,1,1604293205,1604293205,59,59
124,1,24,372,0,1,372,0,False,3,1,active,1604292310,1,1604293205,1604293205,3,3
125,1,9,373,0,0,373,0,False,10,1,active,1604287338,1,1604293205,1604293205,10,10
126,1,24,376,0,1,376,0,False,19,1,active,1604292818,1,1604293205,1604293205,19,19
127,1,31,377,0,0,377,0,False,17,1,active,1604279378,1,1604293205,1604293205,17,17
128,1,20,379,1,0,379,0,False,35,1,active,1604292846,1,1604293205,1604293205,35,35
129,0,0,380,1,0,380,0,False,41,0,active,1604291096,1,1604293205,1604293205,41,41
130,1,9,383,1,5,383,0,False,29,1,active,1604291502,1,1604293205,1604293205,29,29
131,1,14,385,3,1,385,0,False,12,1,active,1604289068,1,1604293205,1604293205,12,12
132,1,34,386,2,3,386,0,False,46,1,active,1604290435,1,1604293205,1604293205,46,46
133,1,31,387,2,0,387,0,False,6,1,active,1604290315,1,1604293205,1604293205,6,6
134,1,25,388,0,1,388,0,False,10,1,active,1604289474,1,1604293205,1604293205,10,10
135,1,5,389,1,8,389,0,False,21,1,active,1604288845,1,1604293205,1604293205,21,21
136,1,15,390,0,1,390,0,False,16,1,active,1604288008,1,1604293205,1604293205,16,16
137,1,0,391,0,0,391,0,False,0,1,active,86400,1,1604293205,1604293205,0,0
138,1,16,392,0,0,392,0,False,19,1,active,1604290190,1,1604293205,1604293205,19,19
139,1,3,393,0,7,393,0,False,34,1,active,1604292632,1,1604293205,1604293205,34,34
140,0,0,394,0,0,394,0,False,0,0,out_of_service,86400,0,1604293205,1604293205,0,0
141,1,17,396,1,5,396,0,False,7,1,active,1604290185,1,1604293205,1604293205,7,7
142,1,66,397,1,2,397,0,False,8,1,active,1604291371,1,1604293205,1604293205,8,8
143,1,5,398,0,2,398,0,False,26,1,active,1604290573,1,1604293205,1604293205,26,26
144,1,27,399,1,5,399,0,False,11,1,active,1604287638,1,1604293205,1604293205,11,11
145,1,2,400,0,0,400,0,False,13,1,active,1604288240,1,1604293205,1604293205,13,13
146,1,19,401,2,0,401,0,False,21,1,active,1604291851,1,1604293205,1604293205,21,21
147,1,14,402,1,0,402,0,False,24,1,active,1604289522,1,1604293205,1604293205,24,24
148,1,10,403,2,2,403,0,False,19,1,active,1604292866,1,1604293205,1604293205,19,19
149,1,20,405,0,1,405,0,False,31,1,active,1604285929,1,1604293205,1604293205,31,31
150,1,15,406,0,3,406,0,False,5,1,active,1604283536,1,1604293205,1604293205,5,5
151,1,3,408,1,2,408,0,False,19,1,active,1604290852,1,1604293205,1604293205,19,19
152,1,5,410,1,2,410,0,False,39,1,active,1604292989,1,1604293205,1604293205,39,39
153,1,1,411,0,4,411,0,False,30,1,active,1604292319,1,1604293205,1604293205,30,30
154,1,16,412,0,0,412,0,False,13,1,active,1604293143,1,1604293205,1604293205,13,13
155,1,26,415,0,3,415,0,False,20,1,active,1604290399,1,1604293205,1604293205,20,20
156,1,18,416,2,1,416,0,False,11,1,active,1604283972,1,1604293205,1604293205,11,11
157,1,10,417,0,1,417,0,False,15,1,active,1604288075,1,1604293205,1604293205,15,15
158,1,16,418,0,0,418,0,False,21,1,active,1604282908,1,1604293205,1604293205,21,21
159,1,5,419,0,6,419,0,False,18,1,active,1604284686,1,1604293205,1604293205,18,18
160,1,36,420,2,1,420,0,False,13,1,active,1604285785,1,1604293205,1604293205,13,13
161,1,4,421,0,2,421,0,False,15,1,active,1604290832,1,1604293205,1604293205,15,15
162,1,33,422,3,5,422,0,False,42,1,active,1604292984,1,1604293205,1604293205,42,42
163,1,13,423,1,0,423,0,False,13,1,active,1604292707,1,1604293205,1604293205,13,13
164,1,4,426,3,0,426,0,True,23,1,active,1604292521,1,1604293205,1604293205,23,23
165,1,13,427,1,0,427,0,False,33,1,active,1604271394,1,1604293205,1604293205,33,33
166,1,8,432,1,0,432,0,False,22,1,active,1604292389,1,1604293205,1604293205,22,22
167,1,18,434,2,1,434,0,False,40,1,active,1604290408,1,1604293205,1604293205,40,40
168,1,18,435,2,0,435,0,False,30,1,active,1604292832,1,1604293205,1604293205,30,30
169,1,15,436,0,6,436,0,False,12,1,active,1604292993,1,1604293205,1604293205,12,12
170,1,18,437,0,1,437,0,False,6,1,active,1604286238,1,1604293205,1604293205,6,6
171,1,7,438,0,3,438,0,False,40,1,active,1604289091,1,1604293205,1604293205,40,40
172,1,2,439,2,2,439,0,False,39,1,active,1604293070,1,1604293205,1604293205,39,39
173,1,30,440,0,0,440,0,False,2,1,active,1604289813,1,1604293205,1604293205,2,2
174,1,25,442,0,2,442,0,False,26,1,active,1604289582,1,1604293205,1604293205,26,26
175,1,3,443,0,2,443,0,False,20,1,active,1604289819,1,1604293205,1604293205,20,20
176,1,14,445,6,3,445,0,False,60,1,active,1604292163,1,1604293205,1604293205,60,60
177,1,53,446,3,2,446,0,False,23,1,active,1604292883,1,1604293205,1604293205,23,23
178,1,6,447,0,4,447,0,False,25,1,active,1604292009,1,1604293205,1604293205,25,25
179,1,14,448,1,4,448,0,False,12,1,active,1604291204,1,1604293205,1604293205,12,12
180,1,43,450,4,4,450,0,False,20,1,active,1604291785,1,1604293205,1604293205,20,20
181,1,4,453,2,2,453,0,False,43,1,active,1604216149,1,1604293205,1604293205,43,43
182,1,5,454,1,1,454,0,False,29,1,active,1604290323,1,1604293205,1604293205,29,29
183,1,44,455,1,0,455,0,False,14,1,active,1604285915,1,1604293205,1604293205,14,14
184,1,30,456,1,1,456,0,False,3,1,active,1604292136,1,1604293205,1604293205,3,3
185,1,4,458,0,0,458,0,False,27,1,active,1604278966,1,1604293205,1604293205,27,27
186,1,4,460,2,1,460,0,False,19,1,active,1604291641,1,1604293205,1604293205,19,19
187,1,26,461,0,0,461,0,False,30,1,active,1604285955,1,1604293205,1604293205,30,30
188,1,7,462,0,4,462,0,False,70,1,active,1604291956,1,1604293205,1604293205,70,70
189,1,49,464,0,0,464,0,False,4,1,active,1604292872,1,1604293205,1604293205,4,4
190,1,32,465,0,1,465,0,False,7,1,active,1604292976,1,1604293205,1604293205,7,7
191,1,21,466,1,0,466,8,False,5,1,active,1604292728,1,1604293205,1604293205,5,5
192,1,2,467,0,2,467,0,False,32,1,active,1604288542,1,1604293205,1604293205,32,32
193,1,17,468,2,30,468,0,False,46,1,active,1604291979,1,1604293205,1604293205,46,46
194,1,21,469,0,1,469,0,False,36,1,active,1604292096,1,1604293205,1604293205,36,36
195,1,42,470,1,1,470,0,False,29,1,active,1604291810,1,1604293205,1604293205,29,29
196,1,13,471,0,0,471,0,False,18,1,active,1604288872,1,1604293205,1604293205,18,18
197,1,19,472,1,0,472,0,False,35,1,active,1604293139,1,1604293205,1604293205,35,35
198,1,26,473,1,1,473,0,False,23,1,active,1604288526,1,1604293205,1604293205,23,23
199,1,21,474,2,0,474,0,False,33,1,active,1604286081,1,1604293205,1604293205,33,33
200,1,20,476,5,0,476,0,False,40,1,active,1604290073,1,1604293205,1604293205,40,40
201,1,8,477,2,0,477,0,False,61,1,active,1604293043,1,1604293205,1604293205,61,61
202,1,0,478,2,4,478,0,False,35,1,active,1604288363,1,1604293205,1604293205,35,35
203,1,23,479,1,1,479,0,False,7,1,active,1604292696,1,1604293205,1604293205,7,7
204,1,9,480,2,8,480,0,False,18,1,active,1604292333,1,1604293205,1604293205,18,18
205,1,6,481,0,3,481,0,False,19,1,active,1604291089,1,1604293205,1604293205,19,19
206,0,2,482,1,9,482,0,False,76,0,active,1604285546,1,1604293205,1604293205,76,76
207,1,20,483,0,0,483,0,False,14,1,active,1604292115,1,1604293205,1604293205,14,14
208,1,38,484,0,0,484,0,False,8,1,active,1604289026,1,1604293205,1604293205,8,8
209,1,30,485,0,4,485,0,False,10,1,active,1604291534,1,1604293205,1604293205,10,10
210,1,20,486,0,1,486,0,False,21,1,active,1604289359,1,1604293205,1604293205,21,21
211,1,13,487,2,1,487,0,False,20,1,active,1604291826,1,1604293205,1604293205,20,20
212,1,34,489,1,0,489,0,False,14,1,active,1604291193,1,1604293205,1604293205,14,14
213,1,20,490,0,1,490,0,False,46,1,active,1604291955,1,1604293205,1604293205,46,46
214,1,14,492,2,2,492,0,False,52,1,active,1604292616,1,1604293205,1604293205,52,52
215,1,32,493,1,1,493,0,False,1,1,active,1604289028,1,1604293205,1604293205,1,1
216,1,28,494,0,0,494,0,False,38,1,active,1604292769,1,1604293205,1604293205,38,38
217,1,17,495,0,3,495,0,False,22,1,active,1604293168,1,1604293205,1604293205,22,22
218,1,13,496,1,0,496,1,False,50,1,active,1604291222,1,1604293205,1604293205,50,50
219,1,25,497,2,0,497,0,False,39,1,active,1604293034,1,1604293205,1604293205,39,39
220,1,29,499,1,0,499,0,True,6,1,active,1604292839,1,1604293205,1604293205,6,6
221,1,28,500,1,12,500,0,False,23,1,active,1604291913,1,1604293205,1604293205,23,23
222,1,30,501,1,6,501,0,False,48,1,active,1604292622,1,1604293205,1604293205,48,48
223,1,15,502,1,5,502,0,False,20,1,active,1604291440,1,1604293205,1604293205,20,20
224,1,11,503,1,0,503,0,False,19,1,active,1604290121,1,1604293205,1604293205,19,19
225,1,25,504,0,0,504,0,False,29,1,active,1604292913,1,1604293205,1604293205,29,29
226,1,6,505,2,0,505,0,False,44,1,active,1604292825,1,1604293205,1604293205,44,44
