,num_bikes_available,is_renting,station_id,legacy_id,num_bikes_disabled,num_docks_available,eightd_has_available_keys,station_status,is_installed,num_ebikes_available,is_returning,num_docks_disabled,last_reported,eightd_active_station_services,valet,starttime,timestamp,demand,supply
57,9,1,278,278,0,10,False,active,1,0,1,0,1605248209,,,1605265190,1605265190,0,1
58,0,0,280,280,0,0,False,out_of_service,0,0,0,0,86400,,,1605265190,1605265190,0,0
59,29,1,281,281,1,36,True,active,1,0,1,0,1605261193,,,1605265190,1605265190,2,0
60,14,1,282,282,0,13,False,active,1,4,1,0,1605251661,,,1605265190,1605265190,0,0
61,32,1,284,284,0,19,False,active,1,1,1,0,1605265090,,,1605265190,1605265190,1,0
62,28,1,285,285,2,23,True,active,1,5,1,0,1605262332,,,1605265190,1605265190,0,2
63,13,1,289,289,0,6,False,active,1,2,1,0,1605264111,,,1605265190,1605265190,0,0
64,19,1,291,291,0,1,False,active,1,3,1,0,1605256725,,,1605265190,1605265190,0,1
65,41,1,293,293,0,13,False,active,1,2,1,0,1605263683,,,1605265190,1605265190,0,1
66,22,1,295,295,1,1,False,active,1,0,1,0,1605263297,,,1605265190,1605265190,0,1
67,35,0,297,297,5,37,False,active,1,3,0,0,1605259794,,,1605265190,1605265190,1,0
68,4,1,298,298,0,31,False,active,1,0,1,0,1605248210,,,1605265190,1605265190,0,0
69,35,1,301,301,0,23,False,active,1,0,1,0,1605264370,,,1605265190,1605265190,0,0
70,30,1,302,302,3,4,False,active,1,11,1,0,1605264812,,,1605265190,1605265190,1,0
71,57,1,303,303,1,9,False,active,1,0,1,0,1605254372,,,1605265190,1605265190,0,1
72,8,1,304,304,0,25,False,active,1,1,1,0,1605255708,,,1605265190,1605265190,3,0
73,3,1,305,305,1,29,False,active,1,0,1,0,1605264670,,,1605265190,1605265190,5,0
74,24,1,307,307,1,5,False,active,1,0,1,0,1605262304,,,1605265190,1605265190,2,0
75,46,1,308,308,1,1,False,active,1,4,1,0,1605255312,,,1605265190,1605265190,0,0
76,26,1,309,309,0,15,False,active,1,2,1,0,1605264599,,,1605265190,1605265190,3,0
77,60,1,310,310,1,5,False,active,1,1,1,0,1605248209,,,1605265190,1605265190,1,0
78,19,1,311,311,2,10,False,active,1,4,1,0,1605265111,,,1605265190,1605265190,0,2
79,26,1,312,312,1,6,False,active,1,0,1,0,1605265122,,,1605265190,1605265190,0,1
80,45,1,313,313,0,10,False,active,1,1,1,0,1605248734,,,1605265190,1605265190,1,0
81,19,1,315,315,3,7,False,active,1,0,1,0,1605248210,,,1605265190,1605265190,1,0
82,39,0,316,316,0,4,False,active,1,8,0,0,1605240530,,,1605265190,1605265190,0,0
83,32,1,317,317,0,22,False,active,1,5,1,0,1605264917,,,1605265190,1605265190,0,4
84,10,1,319,319,0,23,False,active,1,0,1,0,1605263786,,,1605265190,1605265190,1,0
85,29,1,320,320,0,10,False,active,1,0,1,0,1605250622,,,1605265190,1605265190,0,2
86,27,1,321,321,1,11,False,active,1,0,1,0,1605264188,,,1605265190,1605265190,0,0
87,35,1,323,323,0,4,False,active,1,0,1,0,1605255554,,,1605265190,1605265190,0,0
88,73,1,324,324,0,1,False,active,1,2,1,0,1605264104,,,1605265190,1605265190,0,1
89,34,0,325,325,1,0,False,active,1,6,0,0,1605256653,,,1605265190,1605265190,0,0
90,17,1,326,326,0,24,False,active,1,0,1,0,1605263432,,,1605265190,1605265190,1,0
91,20,1,327,327,1,18,True,active,1,2,1,0,1605264793,,,1605265190,1605265190,4,0
92,31,1,328,328,3,1,False,active,1,1,1,0,1605264956,,,1605265190,1605265190,0,1
93,11,1,330,330,1,27,False,active,1,0,1,0,1605257184,,,1605265190,1605265190,0,0
94,19,1,331,331,2,6,False,active,1,1,1,0,1605263349,,,1605265190,1605265190,0,1
95,26,1,332,332,0,10,False,active,1,6,1,0,1605256848,,,1605265190,1605265190,0,3
96,25,1,334,334,0,6,False,active,1,1,1,0,1605249416,,,1605265190,1605265190,0,4
97,11,1,335,335,0,16,False,active,1,0,1,0,1605259984,,,1605265190,1605265190,6,0
98,23,1,336,336,0,13,False,active,1,0,1,0,1605264824,,,1605265190,1605265190,0,1
99,23,1,340,340,1,3,False,active,1,1,1,0,1605259860,,,1605265190,1605265190,0,1
100,16,0,341,341,0,3,False,active,1,0,0,0,1605202828,,,1605265190,1605265190,0,0
101,26,1,342,342,0,2,False,active,1,3,1,1,1605254819,,,1605265190,1605265190,0,2
102,18,1,343,343,0,5,False,active,1,0,1,0,1605248209,,,1605265190,1605265190,0,0
103,3,1,344,344,4,16,False,active,1,1,1,0,1605248209,,,1605265190,1605265190,0,0
104,16,1,346,346,1,10,False,active,1,0,1,0,1605265071,,,1605265190,1605265190,2,0
105,38,1,347,347,0,16,False,active,1,10,1,0,1605265118,,,1605265190,1605265190,6,0
106,36,1,349,349,0,25,False,active,1,0,1,0,1605264895,,,1605265190,1605265190,0,0
107,39,1,350,350,1,6,False,active,1,8,1,1,1605262009,,,1605265190,1605265190,0,3
108,36,1,351,351,0,3,False,active,1,0,1,0,1605248211,,,1605265190,1605265190,0,0
109,4,1,353,353,1,22,False,active,1,1,1,0,1605248998,,,1605265190,1605265190,0,0
110,13,1,354,354,0,34,False,active,1,5,1,0,1605260372,,,1605265190,1605265190,0,0
111,24,1,355,355,2,17,False,active,1,0,1,0,1605263619,,,1605265190,1605265190,0,2
112,23,1,356,356,0,0,False,active,1,5,1,0,1605250621,,,1605265190,1605265190,0,0
113,46,1,358,358,0,4,False,active,1,12,1,0,1605264879,,,1605265190,1605265190,0,2
114,4,1,359,359,3,71,False,active,1,0,1,0,1605259802,,,1605265190,1605265190,5,0
115,16,1,360,360,0,23,False,active,1,1,1,0,1605263589,,,1605265190,1605265190,0,1
116,73,1,361,361,0,6,False,active,1,6,1,0,1605256653,,,1605265190,1605265190,0,1
117,34,1,362,362,0,23,False,active,1,0,1,0,1605253035,,,1605265190,1605265190,1,0
118,0,0,363,363,0,3,False,out_of_service,0,0,0,0,1604843856,,,1605265190,1605265190,0,0
119,2,1,364,364,0,25,False,active,1,1,1,0,1605248209,,,1605265190,1605265190,0,0
120,9,1,366,366,1,23,False,active,1,1,1,0,1605261790,,,1605265190,1605265190,0,0
121,10,1,367,367,1,32,False,active,1,1,1,0,1605262630,,,1605265190,1605265190,1,0
122,23,1,368,368,3,19,False,active,1,0,1,2,1605254762,,,1605265190,1605265190,2,0
123,51,1,369,369,1,24,False,active,1,3,1,0,1605264965,,,1605265190,1605265190,0,6
124,8,1,372,372,0,19,False,active,1,0,1,0,1605248210,,,1605265190,1605265190,0,0
125,7,1,373,373,0,12,False,active,1,0,1,0,1605261088,,,1605265190,1605265190,0,0
126,34,1,376,376,0,8,False,active,1,0,1,0,1605256654,,,1605265190,1605265190,0,3
127,28,1,377,377,0,20,False,active,1,0,1,0,1605251016,,,1605265190,1605265190,0,0
128,46,1,379,379,1,9,False,active,1,5,1,0,1605263576,,,1605265190,1605265190,0,20
129,31,1,380,380,0,11,False,active,1,0,1,0,1605253599,,,1605265190,1605265190,0,0
130,27,1,383,383,0,11,False,active,1,2,1,1,1605249416,,,1605265190,1605265190,0,1
131,6,1,385,385,0,23,False,active,1,0,1,0,1605264587,,,1605265190,1605265190,0,1
132,71,1,386,386,0,11,False,active,1,0,1,0,1605253507,,,1605265190,1605265190,0,0
133,11,1,387,387,0,28,False,active,1,0,1,0,1605261020,,,1605265190,1605265190,0,0
134,3,1,388,388,3,29,False,active,1,0,1,0,1605263680,,,1605265190,1605265190,0,0
135,10,1,389,389,0,17,False,active,1,0,1,0,1605248209,,,1605265190,1605265190,0,0
136,23,1,390,390,0,8,False,active,1,1,1,0,1605248964,,,1605265190,1605265190,2,0
137,2,1,391,391,13,3,False,active,1,1,1,20,1605265147,,,1605265190,1605265190,0,2
138,30,1,392,392,0,5,False,active,1,0,1,0,1605262619,,,1605265190,1605265190,0,1
139,20,1,393,393,0,17,False,active,1,2,1,0,1605264269,,,1605265190,1605265190,0,0
140,0,0,394,394,0,0,False,out_of_service,0,0,0,0,86400,,,1605265190,1605265190,0,0
141,7,1,396,396,0,18,False,active,1,2,1,0,1605248209,,,1605265190,1605265190,0,0
142,6,1,397,397,1,68,False,active,1,2,1,0,1605258740,,,1605265190,1605265190,0,0
143,28,1,398,398,0,3,False,active,1,0,1,0,1605250938,,,1605265190,1605265190,0,0
144,8,1,399,399,1,30,False,active,1,1,1,0,1605248209,,,1605265190,1605265190,0,0
145,4,1,400,400,0,10,False,active,1,0,1,1,1605264334,,,1605265190,1605265190,0,0
146,27,1,401,401,2,13,False,active,1,2,1,0,1605259285,,,1605265190,1605265190,0,1
147,30,0,402,402,1,8,False,active,1,6,0,0,1605265178,,,1605265190,1605265190,0,11
148,10,1,403,403,0,21,False,active,1,0,1,0,1605249416,,,1605265190,1605265190,0,0
149,28,1,405,405,0,23,False,active,1,1,1,0,1605264578,,,1605265190,1605265190,0,1
150,9,0,406,406,1,10,False,active,1,2,0,0,1605264770,,,1605265190,1605265190,0,0
151,19,1,408,408,2,2,False,active,1,0,1,0,1605264580,,,1605265190,1605265190,0,1
152,13,1,410,410,5,27,False,active,1,0,1,0,1605265108,,,1605265190,1605265190,0,0
153,21,1,411,411,0,10,False,active,1,6,1,0,1605264458,,,1605265190,1605265190,2,0
154,26,1,412,412,3,0,False,active,1,0,1,0,1605264943,,,1605265190,1605265190,0,0
155,14,1,415,415,1,31,False,active,1,2,1,0,1605265042,,,1605265190,1605265190,1,0
156,4,1,416,416,0,27,False,active,1,1,1,0,1605264305,,,1605265190,1605265190,0,0
157,4,1,417,417,0,21,False,active,1,0,1,0,1605252034,,,1605265190,1605265190,0,0
158,32,1,418,418,0,5,False,active,1,0,1,0,1605248209,,,1605265190,1605265190,0,0
159,4,1,419,419,0,19,False,active,1,0,1,0,1605259992,,,1605265190,1605265190,0,0
160,4,1,420,420,1,46,False,active,1,0,1,0,1605252490,,,1605265190,1605265190,0,0
161,7,1,421,421,1,11,False,active,1,1,1,0,1605259075,,,1605265190,1605265190,0,0
162,50,1,422,422,3,25,False,active,1,35,1,0,1605264025,,,1605265190,1605265190,3,0
163,23,1,423,423,1,3,False,active,1,1,1,0,1605261066,,,1605265190,1605265190,0,5
164,12,1,426,426,1,17,True,active,1,2,1,0,1605251707,,,1605265190,1605265190,2,0
165,38,1,427,427,1,8,False,active,1,2,1,0,1605265113,,,1605265190,1605265190,0,1
166,15,1,432,432,1,15,False,active,1,2,1,0,1605256567,,,1605265190,1605265190,0,1
167,40,1,434,434,1,19,False,active,1,1,1,0,1605262673,,,1605265190,1605265190,1,0
168,21,1,435,435,1,28,False,active,1,0,1,0,1605263860,,,1605265190,1605265190,4,0
169,1,1,436,436,0,26,False,active,1,0,1,0,1605253724,,,1605265190,1605265190,0,0
170,4,1,437,437,0,20,False,active,1,2,1,0,1605255195,,,1605265190,1605265190,1,0
171,41,1,438,438,1,5,False,active,1,0,1,0,1605254609,,,1605265190,1605265190,0,2
172,10,1,439,439,1,32,False,active,1,0,1,0,1605260749,,,1605265190,1605265190,0,0
173,3,1,440,440,0,29,False,active,1,0,1,0,1605250621,,,1605265190,1605265190,1,0
174,22,1,442,442,0,29,False,active,1,1,1,0,1605265176,,,1605265190,1605265190,5,0
175,7,1,443,443,0,16,False,active,1,4,1,0,1605253603,,,1605265190,1605265190,0,1
176,66,1,445,445,0,14,False,active,1,4,1,0,1605264079,,,1605265190,1605265190,0,5
177,4,1,446,446,1,74,False,active,1,1,1,0,1605250622,,,1605265190,1605265190,2,0
178,18,1,447,447,0,12,False,active,1,2,1,1,1605264536,,,1605265190,1605265190,0,0
179,16,1,448,448,0,11,False,active,1,6,1,0,1605264656,,,1605265190,1605265190,0,2
180,20,1,450,450,3,44,False,active,1,0,1,0,1605264379,,,1605265190,1605265190,1,0
181,59,1,453,453,2,5,False,active,1,0,1,0,1605264966,,,1605265190,1605265190,0,2
182,15,1,454,454,2,18,False,active,1,1,1,0,1605250622,,,1605265190,1605265190,0,4
183,6,1,455,455,0,53,False,active,1,0,1,0,1605263901,,,1605265190,1605265190,0,0
184,4,1,456,456,1,29,False,active,1,3,1,0,1605262893,,,1605265190,1605265190,9,0
185,33,1,457,457,1,45,False,active,1,0,1,0,1605261471,,,1605265190,1605265190,3,0
186,10,1,458,458,1,20,False,active,1,4,1,0,1605264033,,,1605265190,1605265190,0,2
187,10,1,460,460,1,14,False,active,1,0,1,0,1605264540,,,1605265190,1605265190,0,0
188,26,1,461,461,1,29,False,active,1,0,1,0,1605264483,,,1605265190,1605265190,3,0
189,53,1,462,462,0,24,False,active,1,0,1,0,1605259562,,,1605265190,1605265190,0,2
190,1,1,464,464,0,51,False,active,1,0,1,1,1605249417,,,1605265190,1605265190,0,0
191,18,1,465,465,0,21,False,active,1,4,1,0,1605263839,,,1605265190,1605265190,0,1
192,2,1,466,466,2,23,False,active,1,0,1,8,1605260070,,,1605265190,1605265190,0,0
193,31,1,467,467,1,2,False,active,1,1,1,0,1605259756,,,1605265190,1605265190,0,0
194,26,1,468,468,2,37,False,active,1,1,1,0,1605263142,,,1605265190,1605265190,2,0
195,7,1,469,469,0,50,False,active,1,0,1,0,1605264544,,,1605265190,1605265190,0,2
196,67,1,470,470,0,5,False,active,1,1,1,0,1605262213,,,1605265190,1605265190,0,5
197,15,1,471,471,2,14,False,active,1,1,1,0,1605250566,,,1605265190,1605265190,0,1
