,station_status,station_id,is_renting,is_returning,num_docks_disabled,num_bikes_available,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,legacy_id,last_reported,num_docks_available,is_installed,eightd_active_station_services,valet,starttime,timestamp,demand,supply
57,active,278,1,1,0,8,0,0,False,278,1605234500,11,1,,,1605236395,1605236395,1,0
58,out_of_service,280,0,0,0,0,0,0,False,280,86400,0,0,,,1605236395,1605236395,0,0
59,active,281,1,1,0,31,0,1,True,281,1605235903,34,1,,,1605236395,1605236395,0,0
60,active,282,1,1,0,10,2,0,False,282,1605236241,17,1,,,1605236395,1605236395,1,0
61,active,284,1,1,0,35,8,1,False,284,1605236290,15,1,,,1605236395,1605236395,3,0
62,active,285,1,1,0,26,0,4,True,285,1605235593,23,1,,,1605236395,1605236395,0,5
63,active,289,1,1,0,0,0,0,False,289,1605236240,19,1,,,1605236395,1605236395,1,0
64,active,291,1,1,0,17,2,1,False,291,1605236124,2,1,,,1605236395,1605236395,0,0
65,active,293,1,1,0,49,0,2,False,293,1605236377,3,1,,,1605236395,1605236395,0,0
66,active,295,1,1,0,22,3,1,False,295,1605236212,1,1,,,1605236395,1605236395,1,0
67,active,297,1,1,0,30,3,5,False,297,1605236192,42,1,,,1605236395,1605236395,0,5
68,active,298,1,1,0,5,0,1,False,298,1605235821,29,1,,,1605236395,1605236395,0,2
69,active,301,1,1,0,42,0,0,False,301,1605236102,16,1,,,1605236395,1605236395,3,0
70,active,302,1,1,0,24,6,12,False,302,1605235628,1,1,,,1605236395,1605236395,0,0
71,active,303,1,1,0,58,0,1,False,303,1605231292,8,1,,,1605236395,1605236395,1,0
72,active,304,1,1,0,6,0,0,False,304,1605235746,27,1,,,1605236395,1605236395,0,0
73,active,305,1,1,0,0,0,1,False,305,1605232679,32,1,,,1605236395,1605236395,2,0
74,active,307,1,1,0,28,0,1,False,307,1605235271,1,1,,,1605236395,1605236395,0,1
75,active,308,1,1,0,42,0,2,False,308,1605233636,4,1,,,1605236395,1605236395,3,0
