,eightd_active_station_services,eightd_has_available_keys,is_installed,is_renting,is_returning,last_reported,legacy_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,station_status,valet,starttime,timestamp,demand,supply
0,,False,1,1,1,1605919632,72,5,3,47,0,0,72,active,,1605920405,1605920405,0,4
1,,False,1,1,1,1605920262,79,26,2,5,0,0,79,active,,1605920405,1605920405,0,0
2,,False,1,1,1,1605920205,82,21,3,3,0,1,82,active,,1605920405,1605920405,0,0
3,,False,1,1,1,1605919473,83,53,7,1,0,2,83,active,,1605920405,1605920405,0,5
4,,False,0,0,0,86400,116,0,0,0,0,0,116,out_of_service,,1605920405,1605920405,0,0
5,,False,1,1,1,1605920389,119,41,0,12,0,0,119,active,,1605920405,1605920405,1,0
6,,False,1,1,1,1605919727,120,3,1,15,0,0,120,active,,1605920405,1605920405,2,0
7,,False,1,1,1,1605920366,127,20,3,8,0,4,127,active,,1605920405,1605920405,9,0
8,,False,1,1,1,1605920272,128,50,4,2,0,2,128,active,,1605920405,1605920405,1,0
9,,False,1,1,1,1605920235,143,5,2,17,0,0,143,active,,1605920405,1605920405,5,0
10,,False,1,1,1,1605916877,144,50,1,7,0,0,144,active,,1605920405,1605920405,1,0
11,,False,1,1,1,1605920162,146,34,3,2,0,1,146,active,,1605920405,1605920405,0,3
12,,False,1,1,1,1605920294,150,22,1,32,0,0,150,active,,1605920405,1605920405,6,0
13,,True,1,1,1,1605920393,151,23,4,6,0,2,151,active,,1605920405,1605920405,2,0
14,,False,1,1,1,1605919236,152,43,3,3,0,0,152,active,,1605920405,1605920405,0,1
15,,False,1,1,1,1605919737,157,17,1,5,0,3,157,active,,1605920405,1605920405,2,0
16,,False,1,1,1,1605920312,161,34,1,0,0,8,161,active,,1605920405,1605920405,0,0
17,,False,1,1,1,1605919374,164,14,1,32,0,0,164,active,,1605920405,1605920405,0,1
18,,False,1,1,1,1605919906,168,41,2,4,0,1,168,active,,1605920405,1605920405,0,7
19,,False,1,1,1,1605920009,173,7,3,60,0,6,173,active,,1605920405,1605920405,0,4
20,,False,1,1,1,1605919850,174,0,0,35,0,0,174,active,,1605920405,1605920405,1,0
21,,False,1,1,1,1605919560,212,55,5,0,0,2,212,active,,1605920405,1605920405,0,0
22,,False,1,1,1,1605917612,216,4,1,32,0,0,216,active,,1605920405,1605920405,0,3
23,,False,1,1,1,1605919337,217,33,2,4,0,0,217,active,,1605920405,1605920405,0,2
24,,False,1,1,1,1605920134,223,29,4,0,0,1,223,active,,1605920405,1605920405,0,1
25,,True,1,1,1,1605919225,224,12,0,18,0,0,224,active,,1605920405,1605920405,0,0
26,,False,1,1,1,1605920164,228,17,2,35,1,1,228,active,,1605920405,1605920405,0,4
27,,False,1,1,1,1605919889,229,20,3,0,0,4,229,active,,1605920405,1605920405,0,0
28,,False,1,1,1,86400,236,0,0,0,0,0,236,active,,1605920405,1605920405,0,0
29,,False,1,1,1,1605920369,237,31,6,2,0,6,237,active,,1605920405,1605920405,0,0
30,,False,1,1,1,1605920355,238,25,6,0,0,0,238,active,,1605920405,1605920405,0,0
31,,False,1,1,1,1605919108,239,12,1,18,0,0,239,active,,1605920405,1605920405,0,2
32,,False,1,1,1,1605918441,241,0,1,22,0,0,241,active,,1605920405,1605920405,3,0
33,,False,1,1,1,1605919643,242,40,0,6,0,0,242,active,,1605920405,1605920405,0,0
34,,False,1,1,1,1605919696,244,3,1,27,0,1,244,active,,1605920405,1605920405,0,3
35,,True,1,1,1,1605920226,245,10,3,10,0,0,245,active,,1605920405,1605920405,0,0
36,,False,1,1,1,1605920077,247,50,4,1,0,3,247,active,,1605920405,1605920405,3,0
37,,False,1,1,1,1605919905,248,97,1,1,0,1,248,active,,1605920405,1605920405,0,1
38,,False,1,1,1,1605919515,249,22,4,1,0,0,249,active,,1605920405,1605920405,0,0
39,,False,1,1,1,1605919747,250,31,5,4,0,2,250,active,,1605920405,1605920405,0,3
40,,False,1,1,1,1605920314,251,23,3,1,0,2,251,active,,1605920405,1605920405,0,0
41,,False,1,1,1,1605918114,252,31,2,0,0,2,252,active,,1605920405,1605920405,0,0
42,,False,1,1,1,1605920011,254,46,1,0,0,2,254,active,,1605920405,1605920405,0,2
43,,False,1,1,1,1605919839,257,29,2,8,0,1,257,active,,1605920405,1605920405,0,1
44,,False,1,1,1,1605919948,258,13,3,7,0,0,258,active,,1605920405,1605920405,0,0
45,,False,1,1,1,1605920047,259,33,3,3,0,0,259,active,,1605920405,1605920405,2,0
46,,False,1,1,1,1605919844,260,23,0,10,0,0,260,active,,1605920405,1605920405,0,4
47,,False,1,1,1,1605919633,261,19,3,19,0,0,261,active,,1605920405,1605920405,4,0
48,,False,1,1,1,1605919523,262,5,3,16,0,0,262,active,,1605920405,1605920405,4,0
49,,False,1,1,1,1605920265,264,25,1,1,0,0,264,active,,1605920405,1605920405,1,0
50,,False,1,1,1,1605920176,265,32,3,0,0,2,265,active,,1605920405,1605920405,0,2
51,,False,1,0,0,1605858354,267,0,0,70,0,0,267,active,,1605920405,1605920405,0,0
52,,False,1,1,1,1605920115,268,21,2,4,0,5,268,active,,1605920405,1605920405,0,3
53,,False,1,1,1,1605920126,270,6,0,17,0,1,270,active,,1605920405,1605920405,4,0
54,,False,1,1,1,1605919973,274,7,2,22,0,1,274,active,,1605920405,1605920405,0,0
55,,False,1,1,1,1605918163,275,1,1,17,0,1,275,active,,1605920405,1605920405,1,0
56,,False,1,1,1,1605920176,276,21,1,3,0,1,276,active,,1605920405,1605920405,0,1
57,,False,1,1,1,1605920166,278,8,0,11,0,1,278,active,,1605920405,1605920405,0,2
58,,False,0,0,0,86400,280,0,0,0,0,0,280,out_of_service,,1605920405,1605920405,0,0
59,,True,1,1,1,1605920392,281,18,2,46,0,2,281,active,,1605920405,1605920405,0,3
60,,False,1,1,1,1605919500,282,6,1,20,0,1,282,active,,1605920405,1605920405,2,0
61,,False,1,1,1,1605920338,284,50,1,0,0,4,284,active,,1605920405,1605920405,0,3
62,,True,1,1,1,1605919835,285,52,1,0,0,6,285,active,,1605920405,1605920405,0,4
63,,False,1,1,1,1605919641,289,2,0,17,0,0,289,active,,1605920405,1605920405,0,0
64,,False,1,1,1,1605919880,291,18,1,1,0,0,291,active,,1605920405,1605920405,0,2
65,,False,1,1,1,1605920376,293,48,2,4,0,0,293,active,,1605920405,1605920405,2,0
66,,False,1,1,1,1605920246,295,5,0,19,0,0,295,active,,1605920405,1605920405,2,0
67,,False,1,1,1,1605920320,297,56,0,21,0,2,297,active,,1605920405,1605920405,5,0
68,,False,1,1,1,1605920186,298,20,0,15,0,0,298,active,,1605920405,1605920405,0,0
69,,False,1,1,1,1605920283,301,50,3,5,0,3,301,active,,1605920405,1605920405,3,0
70,,False,1,1,1,1605919887,302,10,4,23,0,2,302,active,,1605920405,1605920405,4,0
71,,False,1,1,1,1605920397,303,63,4,0,0,1,303,active,,1605920405,1605920405,0,3
72,,False,1,1,1,1605919973,304,20,3,10,0,0,304,active,,1605920405,1605920405,3,0
73,,False,1,1,1,1605919517,305,6,1,26,0,0,305,active,,1605920405,1605920405,1,0
74,,False,1,1,1,1605920124,307,12,7,11,0,0,307,active,,1605920405,1605920405,5,0
75,,False,1,1,1,1605919474,308,42,1,5,0,0,308,active,,1605920405,1605920405,0,3
76,,False,1,1,1,1605920175,309,23,1,17,0,0,309,active,,1605920405,1605920405,0,1
77,,False,1,1,1,1605919688,310,56,3,7,0,0,310,active,,1605920405,1605920405,0,1
78,,False,1,1,1,1605920149,311,9,4,18,0,2,311,active,,1605920405,1605920405,0,0
79,,False,1,1,1,1605920270,312,24,5,4,0,2,312,active,,1605920405,1605920405,0,4
80,,False,1,1,1,1605918174,313,38,1,16,0,0,313,active,,1605920405,1605920405,0,1
81,,False,1,1,1,1605919429,315,20,3,6,0,0,315,active,,1605920405,1605920405,0,1
82,,False,1,1,1,1605920189,316,16,1,26,0,0,316,active,,1605920405,1605920405,0,0
83,,False,0,0,0,86400,317,0,0,0,0,0,317,out_of_service,,1605920405,1605920405,0,0
84,,False,1,1,1,1605919945,319,5,3,25,0,0,319,active,,1605920405,1605920405,7,0
85,,False,1,1,1,1605920388,320,15,3,17,0,1,320,active,,1605920405,1605920405,0,2
86,,False,1,1,1,1605918318,321,15,1,23,0,0,321,active,,1605920405,1605920405,0,0
87,,False,1,1,1,1605920108,323,18,2,19,0,0,323,active,,1605920405,1605920405,2,0
