,num_ebikes_available,is_installed,num_bikes_disabled,num_docks_available,legacy_id,is_renting,station_status,num_bikes_available,eightd_has_available_keys,last_reported,is_returning,num_docks_disabled,station_id,eightd_active_station_services,valet,starttime,timestamp,demand,supply
0,2,1,5,29,72,1,active,21,False,1604814550,1,0,72,,,1604815195,1604815195,0,0
1,0,1,0,6,79,1,active,27,False,1604813016,1,0,79,,,1604815195,1604815195,1,0
2,1,1,0,0,82,1,active,27,False,1604809077,1,0,82,,,1604815195,1604815195,0,0
3,3,1,3,44,83,1,active,15,False,1604814530,1,0,83,,,1604815195,1604815195,2,0
4,0,0,0,0,116,0,out_of_service,0,False,86400,0,0,116,,,1604815195,1604815195,0,0
5,0,1,1,7,119,1,active,45,False,1604809962,1,0,119,,,1604815195,1604815195,0,0
6,0,1,2,13,120,1,active,4,False,1604813762,1,0,120,,,1604815195,1604815195,3,0
7,0,1,1,1,127,1,active,29,False,1604813415,1,0,127,,,1604815195,1604815195,0,0
8,0,1,4,10,128,1,active,42,False,1604814315,1,0,128,,,1604815195,1604815195,5,0
9,3,1,1,11,143,1,active,12,False,1604814865,1,0,143,,,1604815195,1604815195,0,0
10,0,1,0,17,144,1,active,41,False,1604812219,1,0,144,,,1604815195,1604815195,0,0
11,0,1,0,29,146,1,active,10,False,1604815172,1,0,146,,,1604815195,1604815195,1,0
12,3,1,0,14,150,1,active,41,False,1604814636,1,0,150,,,1604815195,1604815195,3,0
13,0,1,9,4,151,1,active,20,True,1604814755,1,0,151,,,1604815195,1604815195,0,1
14,0,1,0,39,152,1,active,10,False,1604813405,1,0,152,,,1604815195,1604815195,1,0
15,4,1,3,1,157,1,active,19,False,1604807381,1,0,157,,,1604815195,1604815195,0,0
16,0,1,11,4,161,1,active,20,False,1604815182,1,0,161,,,1604815195,1604815195,0,10
17,3,1,3,36,164,1,active,8,False,1604815174,1,0,164,,,1604815195,1604815195,29,0
18,0,1,1,13,168,1,active,33,False,1604814005,1,0,168,,,1604815195,1604815195,2,0
19,1,1,8,51,173,1,active,11,False,1604815012,1,0,173,,,1604815195,1604815195,0,5
20,0,1,8,1,174,1,active,26,False,1604815021,1,0,174,,,1604815195,1604815195,1,0
21,1,1,0,4,212,1,active,56,False,1604814773,1,0,212,,,1604815195,1604815195,2,0
22,1,1,3,20,216,1,active,14,False,1604808851,1,0,216,,,1604815195,1604815195,3,0
23,7,1,2,3,217,1,active,34,False,1604814495,1,0,217,,,1604815195,1604815195,0,2
24,0,1,1,4,223,1,active,28,False,1604814101,1,0,223,,,1604815195,1604815195,0,0
25,0,1,0,12,224,1,active,18,True,1604814791,1,0,224,,,1604815195,1604815195,0,2
26,0,1,1,53,228,1,active,1,False,1604808115,1,0,228,,,1604815195,1604815195,0,0
27,0,1,7,10,229,1,active,6,False,1604814879,1,0,229,,,1604815195,1604815195,0,0
28,5,1,1,2,236,1,active,44,False,1604815139,1,0,236,,,1604815195,1604815195,0,1
29,3,1,0,8,237,1,active,31,False,1604813678,1,0,237,,,1604815195,1604815195,0,3
30,0,1,0,7,238,1,active,24,False,1604813270,1,0,238,,,1604815195,1604815195,1,0
31,0,1,0,17,239,1,active,14,False,1604813075,1,0,239,,,1604815195,1604815195,0,0
32,0,1,3,20,241,1,active,0,False,1604813634,1,0,241,,,1604815195,1604815195,0,0
33,0,1,2,12,242,1,active,32,False,1604807775,1,0,242,,,1604815195,1604815195,0,0
34,3,1,3,24,244,1,active,4,False,1604814707,1,0,244,,,1604815195,1604815195,1,0
35,0,1,3,2,245,1,active,18,False,1604814289,1,0,245,,,1604815195,1604815195,1,0
36,0,1,0,10,247,1,active,45,False,1604815121,1,0,247,,,1604815195,1604815195,1,0
