,legacy_id,last_reported,num_docks_available,station_status,num_bikes_disabled,station_id,is_installed,num_docks_disabled,is_returning,num_bikes_available,eightd_has_available_keys,num_ebikes_available,is_renting,starttime,timestamp,demand,supply
0,72,1604242777,13,active,0,72,1,0,1,42,False,3,1,1604242795,1604242795,42,42
1,79,1604242365,10,active,0,79,1,0,1,23,False,1,1,1604242795,1604242795,23,23
2,82,1604242445,12,active,0,82,1,0,1,15,False,0,1,1604242795,1604242795,15,15
3,83,1604241800,14,active,0,83,1,0,1,48,False,0,1,1604242795,1604242795,48,48
4,116,86400,0,out_of_service,0,116,0,0,0,0,False,0,0,1604242795,1604242795,0,0
5,119,1604242538,12,active,1,119,1,0,1,40,False,0,1,1604242795,1604242795,40,40
6,120,1604242580,15,active,0,120,1,0,1,4,False,0,1,1604242795,1604242795,4,4
7,127,1604242544,3,active,2,127,1,0,1,26,False,3,1,1604242795,1604242795,26,26
8,128,1604242576,48,active,0,128,1,0,1,8,False,2,1,1604242795,1604242795,8,8
9,143,1604242285,21,active,1,143,1,0,1,2,False,1,1,1604242795,1604242795,2,2
10,144,1604242081,25,active,1,144,1,0,1,32,False,4,1,1604242795,1604242795,32,32
11,146,1604242057,20,active,1,146,1,0,1,18,False,1,1,1604242795,1604242795,18,18
12,150,1604242360,22,active,1,150,1,0,1,32,False,6,1,1604242795,1604242795,32,32
13,151,1604242563,24,active,3,151,1,0,1,6,True,0,1,1604242795,1604242795,6,6
14,152,1604242605,45,active,0,152,1,0,1,4,False,0,1,1604242795,1604242795,4,4
15,157,1604242575,4,active,1,157,1,0,1,18,False,2,1,1604242795,1604242795,18,18
16,161,1604242267,8,active,0,161,1,0,1,27,False,0,1,1604242795,1604242795,27,27
17,164,1604242217,18,active,1,164,1,0,1,8,False,0,1,1604242795,1604242795,8,8
18,168,1604242697,20,active,0,168,1,0,1,27,False,3,1,1604242795,1604242795,27,27
19,173,1604242362,42,active,2,173,1,0,1,26,False,3,1,1604242795,1604242795,26,26
20,174,1604242775,8,active,0,174,1,0,1,22,False,0,1,1604242795,1604242795,22,22
21,212,1604242786,46,active,0,212,1,0,1,14,False,1,1,1604242795,1604242795,14,14
22,216,1604241397,35,active,0,216,1,0,1,2,False,2,1,1604242795,1604242795,2,2
23,217,1604241336,1,active,0,217,1,0,1,38,False,1,1,1604242795,1604242795,38,38
24,223,1604242705,29,active,0,223,1,0,1,4,False,0,1,1604242795,1604242795,4,4
25,224,1604242390,19,active,1,224,1,0,1,10,True,4,1,1604242795,1604242795,10,10
26,228,1604242782,10,active,2,228,1,0,1,43,False,11,1,1604242795,1604242795,43,43
27,229,1604242355,3,active,2,229,1,0,1,18,False,1,1,1604242795,1604242795,18,18
28,236,1604242519,14,active,1,236,1,0,1,32,False,0,1,1604242795,1604242795,32,32
29,237,1601900359,19,out_of_service,0,237,0,0,0,0,False,0,0,1604242795,1604242795,0,0
30,238,1604242695,4,active,0,238,1,0,1,27,False,2,1,1604242795,1604242795,27,27
31,239,1604242572,13,active,1,239,1,0,1,17,False,1,1,1604242795,1604242795,17,17
32,241,1604242128,1,active,1,241,1,0,1,21,False,10,1,1604242795,1604242795,21,21
33,242,1604242650,11,active,1,242,1,0,1,34,False,2,1,1604242795,1604242795,34,34
34,244,1604242025,23,active,0,244,1,0,1,8,False,2,1,1604242795,1604242795,8,8
35,245,1604241679,17,active,1,245,1,0,1,5,False,0,1,1604242795,1604242795,5,5
36,247,1604242256,52,active,0,247,1,0,1,3,False,1,1,1604242795,1604242795,3,3
37,248,1604242251,31,active,0,248,1,0,1,68,False,0,1,1604242795,1604242795,68,68
38,249,1604240324,24,active,0,249,1,0,1,3,False,0,1,1604242795,1604242795,3,3
39,250,1604242766,13,active,3,250,1,0,1,24,False,1,1,1604242795,1604242795,24,24
40,251,1604242528,5,active,0,251,1,0,1,22,False,1,1,1604242795,1604242795,22,22
41,252,1604241965,22,active,2,252,1,0,1,9,False,0,1,1604242795,1604242795,9,9
42,254,1604242488,27,active,1,254,1,0,1,19,False,1,1,1604242795,1604242795,19,19
43,257,1604242745,27,active,1,257,1,0,1,11,False,1,1,1604242795,1604242795,11,11
44,258,1604241933,9,active,0,258,1,0,1,14,False,3,1,1604242795,1604242795,14,14
45,259,1604242427,19,active,0,259,1,0,1,20,False,5,1,1604242795,1604242795,20,20
46,260,1604238262,24,active,1,260,1,0,1,8,False,0,1,1604242795,1604242795,8,8
47,261,1604242542,21,active,1,261,1,0,1,19,False,4,1,1604242795,1604242795,19,19
48,262,1604241910,18,active,1,262,1,0,1,5,False,2,1,1604242795,1604242795,5,5
49,264,1604242502,0,active,3,264,1,24,1,0,False,0,1,1604242795,1604242795,0,0
50,265,1604242678,1,active,1,265,1,0,1,33,False,1,1,1604242795,1604242795,33,33
51,267,1604241289,39,active,2,267,1,0,1,29,False,0,1,1604242795,1604242795,29,29
52,268,1604242224,9,active,0,268,1,0,1,18,False,1,1,1604242795,1604242795,18,18
53,270,1604240902,6,active,0,270,1,0,1,17,False,9,1,1604242795,1604242795,17,17
54,274,1604242328,8,active,0,274,1,0,1,23,False,0,1,1604242795,1604242795,23,23
55,275,1604242414,16,active,1,275,1,0,1,2,False,0,1,1604242795,1604242795,2,2
56,276,1604240324,20,active,0,276,1,0,1,5,False,1,1,1604242795,1604242795,5,5
57,278,1604242695,16,active,2,278,1,0,1,1,False,0,1,1604242795,1604242795,1,1
58,280,86400,0,out_of_service,0,280,0,0,0,0,False,0,0,1604242795,1604242795,0,0
59,281,1604242209,58,active,0,281,1,0,1,8,True,2,1,1604242795,1604242795,8,8
60,282,1604242704,6,active,1,282,1,0,1,20,False,0,1,1604242795,1604242795,20,20
61,284,1604242534,38,active,1,284,1,0,1,12,False,1,1,1604242795,1604242795,12,12
62,285,1604242117,25,active,4,285,1,0,1,24,True,2,1,1604242795,1604242795,24,24
63,289,1604242083,8,active,1,289,1,0,1,10,False,2,1,1604242795,1604242795,10,10
64,291,1604240248,3,active,0,291,1,0,1,10,False,0,1,1604242795,1604242795,10,10
65,293,1604242617,17,active,3,293,1,1,1,34,False,1,1,1604242795,1604242795,34,34
66,295,1604242729,3,active,0,295,1,0,1,21,False,3,1,1604242795,1604242795,21,21
67,297,1604242442,42,active,1,297,1,0,1,34,False,0,1,1604242795,1604242795,34,34
68,298,1604241646,3,active,2,298,1,0,1,30,False,0,1,1604242795,1604242795,30,30
69,301,1604242766,2,active,0,301,1,0,1,56,False,7,1,1604242795,1604242795,56,56
70,302,1604242249,4,active,1,302,1,0,1,18,False,1,1,1604242795,1604242795,18,18
71,303,1604242535,48,active,0,303,1,0,1,19,False,2,1,1604242795,1604242795,19,19
72,304,1604242433,3,active,1,304,1,0,1,29,False,1,1,1604242795,1604242795,29,29
73,305,1604242681,28,active,0,305,1,0,1,5,False,3,1,1604242795,1604242795,5,5
74,307,1604242783,11,active,0,307,1,0,1,19,False,1,1,1604242795,1604242795,19,19
75,308,1604242300,36,active,2,308,1,0,1,10,False,0,1,1604242795,1604242795,10,10
76,309,1604242667,10,active,0,309,1,0,1,31,False,1,1,1604242795,1604242795,31,31
77,310,1604242398,11,active,1,310,1,0,1,54,False,0,1,1604242795,1604242795,54,54
78,311,1604242666,17,active,0,311,1,0,1,14,False,0,1,1604242795,1604242795,14,14
79,312,1604242675,7,active,0,312,1,0,1,26,False,0,1,1604242795,1604242795,26,26
80,313,1604242254,30,active,0,313,1,0,1,25,False,1,1,1604242795,1604242795,25,25
81,315,1604242767,17,active,2,315,1,0,1,10,False,2,1,1604242795,1604242795,10,10
82,316,1604242018,22,active,1,316,1,0,1,20,False,0,1,1604242795,1604242795,20,20
83,317,1604242752,14,active,0,317,1,0,1,40,False,2,1,1604242795,1604242795,40,40
84,319,1604242484,16,active,1,319,1,0,1,16,False,2,1,1604242795,1604242795,16,16
85,320,1604242466,35,active,1,320,1,0,1,3,False,3,1,1604242795,1604242795,3,3
86,321,1604242731,20,active,0,321,1,0,1,19,False,0,1,1604242795,1604242795,19,19
87,323,1604242180,22,active,0,323,1,0,1,17,False,1,1,1604242795,1604242795,17,17
88,324,1604242676,26,active,3,324,1,0,1,45,False,2,1,1604242795,1604242795,45,45
89,325,1604242776,16,active,0,325,1,0,1,19,False,1,1,1604242795,1604242795,19,19
90,326,86400,0,out_of_service,0,326,0,0,0,0,False,0,0,1604242795,1604242795,0,0
91,327,1604242671,8,active,0,327,1,0,1,31,True,3,1,1604242795,1604242795,31,31
92,328,1604242073,9,active,1,328,1,0,1,13,False,0,1,1604242795,1604242795,13,13
93,330,1604242321,22,active,2,330,1,0,1,15,False,0,1,1604242795,1604242795,15,15
94,331,1604241723,5,active,4,331,1,0,1,18,False,2,1,1604242795,1604242795,18,18
95,332,1604241684,18,active,0,332,1,0,1,18,False,3,1,1604242795,1604242795,18,18
96,334,1604242676,8,active,1,334,1,0,1,22,False,0,1,1604242795,1604242795,22,22
97,335,1604240241,6,active,1,335,1,0,1,20,False,0,1,1604242795,1604242795,20,20
98,336,1604241150,10,active,1,336,1,0,1,25,False,0,1,1604242795,1604242795,25,25
99,340,1604242507,11,active,1,340,1,0,1,15,False,3,1,1604242795,1604242795,15,15
100,341,1604242099,0,active,1,341,1,0,1,18,False,3,1,1604242795,1604242795,18,18
101,342,1604242713,11,active,2,342,1,0,1,16,False,0,1,1604242795,1604242795,16,16
102,343,1604242733,2,active,3,343,1,0,1,18,False,0,1,1604242795,1604242795,18,18
103,344,1604242777,4,active,1,344,1,0,1,18,False,5,1,1604242795,1604242795,18,18
104,346,1604242034,5,active,1,346,1,0,1,21,False,1,1,1604242795,1604242795,21,21
105,347,1604242605,33,active,1,347,1,0,1,20,False,2,1,1604242795,1604242795,20,20
106,349,1604242675,24,active,1,349,1,0,1,36,False,1,1,1604242795,1604242795,36,36
107,350,1604242676,11,active,3,350,1,0,1,33,False,0,1,1604242795,1604242795,33,33
108,351,1604241251,37,active,0,351,1,0,1,2,False,1,1,1604242795,1604242795,2,2
109,353,1604242460,3,active,3,353,1,0,1,21,False,0,1,1604242795,1604242795,21,21
110,354,1604242779,34,active,0,354,1,0,1,13,False,4,1,1604242795,1604242795,13,13
111,355,1604242603,5,active,0,355,1,0,1,38,False,3,1,1604242795,1604242795,38,38
112,356,1604242579,7,active,0,356,1,0,1,16,False,0,1,1604242795,1604242795,16,16
113,358,1604242723,3,active,1,358,1,0,1,46,False,3,1,1604242795,1604242795,46,46
114,359,1604239890,71,active,6,359,1,0,1,1,False,1,1,1604242795,1604242795,1,1
