,is_installed,is_renting,legacy_id,station_id,num_bikes_available,num_ebikes_available,num_docks_disabled,is_returning,eightd_has_available_keys,station_status,num_bikes_disabled,num_docks_available,last_reported,eightd_active_station_services,valet,starttime,timestamp,demand,supply
392,1,1,3201,3201,0,0,0,1,False,active,1,17,1605251829,,,1605279595,1605279595,0,0
393,1,1,3202,3202,17,0,0,1,False,active,0,1,1605276174,,,1605279595,1605279595,0,0
394,1,1,3203,3203,21,0,0,1,False,active,0,5,1605279508,,,1605279595,1605279595,0,0
395,1,1,3205,3205,9,0,0,1,False,active,0,13,1605274946,,,1605279595,1605279595,0,0
396,1,1,3206,3206,0,0,0,1,False,active,0,26,1605251829,,,1605279595,1605279595,0,0
397,1,1,3207,3207,0,0,0,1,False,active,0,26,1605253034,,,1605279595,1605279595,0,0
398,1,1,3209,3209,14,0,0,1,False,active,0,8,1605276481,,,1605279595,1605279595,0,1
399,1,1,3210,3210,0,0,0,1,False,active,0,18,1605253033,,,1605279595,1605279595,0,0
400,1,1,3211,3211,19,0,0,1,False,active,0,3,1605277970,,,1605279595,1605279595,0,0
401,1,1,3212,3212,0,0,0,1,False,active,0,22,1605268803,,,1605279595,1605279595,0,0
402,1,1,3213,3213,3,0,0,1,False,active,0,19,1605276772,,,1605279595,1605279595,0,0
403,1,0,3214,3214,21,0,0,0,False,active,0,1,1605127146,,,1605279595,1605279595,0,0
404,1,1,3220,3220,2,0,0,1,False,active,0,16,1605275648,,,1605279595,1605279595,0,0
405,1,1,3221,3221,26,1,0,1,False,active,1,0,1605273731,,,1605279595,1605279595,0,1
406,1,1,3225,3225,0,0,0,1,False,active,0,14,1605274378,,,1605279595,1605279595,0,0
407,1,1,3226,3226,14,4,0,1,True,active,0,31,1605277138,,,1605279595,1605279595,1,0
408,1,1,3231,3231,7,2,0,1,False,active,0,32,1605279174,,,1605279595,1605279595,0,3
409,1,1,3232,3232,34,2,0,1,False,active,1,12,1605278991,,,1605279595,1605279595,1,0
410,1,0,3233,3233,23,6,0,0,False,active,16,0,1605278241,,,1605279595,1605279595,0,0
411,1,1,3235,3235,14,5,0,1,False,active,0,12,1605278735,,,1605279595,1605279595,0,1
412,1,1,3236,3236,13,0,3,1,False,active,2,15,1605278419,,,1605279595,1605279595,0,0
413,1,1,3241,3241,7,5,0,1,False,active,1,11,1605278405,,,1605279595,1605279595,0,1
414,1,1,3242,3242,7,0,0,1,False,active,1,31,1605278627,,,1605279595,1605279595,0,1
415,1,1,3243,3243,10,0,0,1,False,active,0,19,1605278642,,,1605279595,1605279595,0,1
416,1,1,3244,3244,31,2,0,1,False,active,2,9,1605278247,,,1605279595,1605279595,5,0
417,1,1,3246,3246,9,1,0,1,False,active,1,29,1605278224,,,1605279595,1605279595,0,0
418,1,1,3249,3249,4,0,0,1,False,active,1,14,1605275262,,,1605279595,1605279595,2,0
419,1,1,3255,3255,13,0,0,1,False,active,3,2,1605278864,[{'id': '66ddbd20-0aca-11e7-82f6-3863bb44ef7c'}],"{'dock_blocked_count': 0, 'off_dock_count': 12, 'station_id': '66ddbd20-0aca-11e7-82f6-3863bb44ef7c', 'active': True, 'off_dock_capacity': 70, 'valet_revision': 24748, 'region': 'BKN'}",1605279595,1605279595,0,1
420,1,1,3256,3256,23,2,0,1,False,active,0,0,1605276194,,,1605279595,1605279595,0,3
421,1,1,3259,3259,12,2,0,1,False,active,2,13,1605279272,,,1605279595,1605279595,0,0
422,1,1,3260,3260,28,2,0,1,False,active,0,17,1605279188,,,1605279595,1605279595,6,0
423,1,1,3263,3263,20,0,0,1,False,active,0,39,1605279512,,,1605279595,1605279595,3,0
424,1,1,3267,3267,7,0,0,1,False,active,0,7,1605268962,,,1605279595,1605279595,0,1
425,1,1,3268,3268,6,0,0,1,False,active,0,8,1605275245,,,1605279595,1605279595,0,0
426,1,0,3269,3269,14,0,0,0,False,active,0,0,1605275966,,,1605279595,1605279595,0,1
427,1,1,3270,3270,8,0,0,1,False,active,0,6,1605276074,,,1605279595,1605279595,0,0
428,1,1,3272,3272,11,0,0,1,False,active,0,3,1605275179,,,1605279595,1605279595,0,0
429,1,1,3273,3273,7,0,0,1,False,active,0,11,1605277498,,,1605279595,1605279595,1,0
430,1,1,3275,3275,10,0,0,1,False,active,0,4,1605276443,,,1605279595,1605279595,0,0
431,1,1,3276,3276,1,0,0,1,False,active,0,25,1605275571,,,1605279595,1605279595,0,0
432,1,1,3277,3277,10,0,0,1,False,active,0,4,1605274581,,,1605279595,1605279595,0,0
433,1,1,3278,3278,9,0,0,1,False,active,0,5,1605278120,,,1605279595,1605279595,0,0
434,1,1,3279,3279,4,0,0,1,False,active,0,14,1605276557,,,1605279595,1605279595,0,1
435,1,1,3280,3280,0,0,0,1,False,active,1,13,1605278683,,,1605279595,1605279595,2,0
436,1,1,3281,3281,0,0,0,1,False,active,0,14,1605259637,,,1605279595,1605279595,0,0
437,1,1,3282,3282,16,7,0,1,True,active,1,21,1605275288,,,1605279595,1605279595,1,0
438,1,1,3283,3283,34,22,0,1,False,active,0,13,1605278856,,,1605279595,1605279595,0,2
439,1,1,3284,3284,13,1,0,1,False,active,1,24,1605279467,,,1605279595,1605279595,4,0
440,1,1,3285,3285,8,1,0,1,False,active,0,35,1605279364,,,1605279595,1605279595,0,1
441,1,1,3286,3286,11,1,0,1,False,active,1,27,1605278359,,,1605279595,1605279595,0,1
442,1,1,3287,3287,35,12,0,1,False,active,1,11,1605278861,,,1605279595,1605279595,0,0
443,1,1,3288,3288,19,2,0,1,False,active,0,20,1605279559,,,1605279595,1605279595,0,2
444,1,1,3289,3289,21,8,0,1,False,active,0,11,1605279126,,,1605279595,1605279595,0,3
445,1,1,3290,3290,24,0,1,1,False,active,1,9,1605279522,,,1605279595,1605279595,1,0
