,station_id,num_bikes_available,eightd_has_available_keys,last_reported,legacy_id,num_docks_available,num_ebikes_available,num_bikes_disabled,station_status,is_installed,num_docks_disabled,is_renting,is_returning,starttime,timestamp,demand,supply
59,281,7,True,1604239169,281,59,1,0,active,1,0,1,1,1604239360,1604239360,7,7
60,282,22,False,1604239333,282,2,0,3,active,1,0,1,1,1604239360,1604239360,22,22
61,284,14,False,1604238848,284,36,3,1,active,1,0,1,1,1604239360,1604239360,14,14
62,285,21,True,1604239325,285,29,1,3,active,1,0,1,1,1604239360,1604239360,21,21
63,289,10,False,1604237478,289,8,2,1,active,1,0,1,1,1604239360,1604239360,10,10
64,291,10,False,1604239284,291,3,0,0,active,1,0,1,1,1604239360,1604239360,10,10
65,293,40,False,1604239174,293,11,1,3,active,1,1,1,1,1604239360,1604239360,40,40
66,295,20,False,1604239114,295,4,1,0,active,1,0,1,1,1604239360,1604239360,20,20
67,297,29,False,1604239286,297,47,0,1,active,1,0,1,1,1604239360,1604239360,29,29
68,298,33,False,1604239082,298,0,0,2,active,1,0,1,1,1604239360,1604239360,33,33
69,301,57,False,1604238031,301,1,6,0,active,1,0,1,1,1604239360,1604239360,57,57
70,302,19,False,1604239332,302,3,2,1,active,1,0,1,1,1604239360,1604239360,19,19
71,303,17,False,1604237174,303,50,0,0,active,1,0,1,1,1604239360,1604239360,17,17
72,304,31,False,1604236714,304,2,1,0,active,1,0,1,1,1604239360,1604239360,31,31
73,305,3,False,1604238918,305,30,3,0,active,1,0,1,1,1604239360,1604239360,3,3
74,307,22,False,1604238861,307,8,3,0,active,1,0,1,1,1604239360,1604239360,22,22
75,308,11,False,1604238789,308,35,1,2,active,1,0,1,1,1604239360,1604239360,11,11
76,309,33,False,1604238902,309,8,1,0,active,1,0,1,1,1604239360,1604239360,33,33
77,310,55,False,1604239063,310,9,0,2,active,1,0,1,1,1604239360,1604239360,55,55
78,311,14,False,1604239207,311,16,0,1,active,1,0,1,1,1604239360,1604239360,14,14
79,312,27,False,1604238862,312,6,0,0,active,1,0,1,1,1604239360,1604239360,27,27
80,313,24,False,1604239087,313,31,0,0,active,1,0,1,1,1604239360,1604239360,24,24
81,315,10,False,1604239221,315,17,2,2,active,1,0,1,1,1604239360,1604239360,10,10
82,316,24,False,1604238232,316,18,2,1,active,1,0,1,1,1604239360,1604239360,24,24
83,317,43,False,1604239246,317,11,2,0,active,1,0,1,1,1604239360,1604239360,43,43
84,319,16,False,1604239040,319,16,4,1,active,1,0,1,1,1604239360,1604239360,16,16
85,320,4,False,1604236134,320,34,1,1,active,1,0,1,1,1604239360,1604239360,4,4
