,num_ebikes_available,is_installed,num_bikes_disabled,num_docks_available,legacy_id,is_renting,station_status,num_bikes_available,eightd_has_available_keys,last_reported,is_returning,num_docks_disabled,station_id,eightd_active_station_services,valet,starttime,timestamp,demand,supply
0,3,1,1,30,72,1,active,24,False,1604828335,1,0,72,,,1604836795,1604836795,0,0
1,2,1,0,2,79,1,active,31,False,1604835943,1,0,79,,,1604836795,1604836795,0,2
2,0,1,0,2,82,1,active,25,False,1604835733,1,0,82,,,1604836795,1604836795,0,0
3,6,1,2,40,83,1,active,20,False,1604834206,1,0,83,,,1604836795,1604836795,1,0
4,0,0,0,0,116,0,out_of_service,0,False,86400,0,0,116,,,1604836795,1604836795,0,0
5,1,1,0,7,119,1,active,46,False,1604832341,1,0,119,,,1604836795,1604836795,0,0
6,1,1,2,9,120,1,active,8,False,1604823368,1,0,120,,,1604836795,1604836795,0,0
7,0,1,1,1,127,1,active,29,False,1604818256,1,0,127,,,1604836795,1604836795,0,22
8,0,1,4,9,128,1,active,43,False,1604835613,1,0,128,,,1604836795,1604836795,1,0
9,2,1,0,12,143,1,active,12,False,1604817154,1,0,143,,,1604836795,1604836795,0,0
10,1,1,0,15,144,1,active,43,False,1604830795,1,0,144,,,1604836795,1604836795,0,0
11,3,1,0,20,146,1,active,19,False,1604836213,1,0,146,,,1604836795,1604836795,0,2
12,2,1,0,4,150,1,active,51,False,1604836563,1,0,150,,,1604836795,1604836795,0,0
13,0,1,9,7,151,1,active,17,True,1604834392,1,0,151,,,1604836795,1604836795,0,0
14,0,1,0,40,152,1,active,9,False,1604829114,1,0,152,,,1604836795,1604836795,0,0
15,2,1,3,3,157,1,active,17,False,1604819517,1,0,157,,,1604836795,1604836795,0,0
16,1,1,10,14,161,1,active,11,False,1604836122,1,0,161,,,1604836795,1604836795,0,0
17,13,1,0,17,164,1,active,30,False,1604831003,1,0,164,,,1604836795,1604836795,0,0
18,0,1,0,11,168,1,active,36,False,1604835454,1,0,168,,,1604836795,1604836795,0,1
19,10,1,3,47,173,1,active,20,False,1604835771,1,0,173,,,1604836795,1604836795,0,1
20,0,1,7,0,174,1,active,28,False,1604836646,1,0,174,,,1604836795,1604836795,0,1
21,0,1,0,2,212,1,active,58,False,1604834601,1,0,212,,,1604836795,1604836795,0,0
22,3,1,0,21,216,1,active,16,False,1604820096,1,0,216,,,1604836795,1604836795,0,0
23,5,1,3,4,217,1,active,32,False,1604835966,1,0,217,,,1604836795,1604836795,0,14
24,2,1,1,1,223,1,active,31,False,1604834297,1,0,223,,,1604836795,1604836795,0,1
25,0,1,0,12,224,1,active,18,True,1604826971,1,0,224,,,1604836795,1604836795,0,0
26,0,1,1,54,228,1,active,0,False,1604821768,1,0,228,,,1604836795,1604836795,0,0
27,0,1,3,19,229,1,active,1,False,1604825541,1,0,229,,,1604836795,1604836795,2,0
28,0,1,1,3,236,1,active,43,False,1604836207,1,0,236,,,1604836795,1604836795,0,2
29,1,1,0,9,237,1,active,30,False,1604836349,1,0,237,,,1604836795,1604836795,1,0
30,0,1,0,7,238,1,active,24,False,1604834223,1,0,238,,,1604836795,1604836795,0,1
31,2,1,0,15,239,1,active,16,False,1604831387,1,0,239,,,1604836795,1604836795,0,4
32,1,1,3,15,241,1,active,5,False,1604836526,1,0,241,,,1604836795,1604836795,0,0
33,0,1,2,10,242,1,active,34,False,1604822205,1,0,242,,,1604836795,1604836795,0,1
34,7,1,1,22,244,1,active,8,False,1604826741,1,0,244,,,1604836795,1604836795,0,1
35,3,1,1,2,245,1,active,20,False,1604834067,1,0,245,,,1604836795,1604836795,0,1
36,0,1,0,8,247,1,active,47,False,1604827101,1,0,247,,,1604836795,1604836795,0,2
