,station_id,is_renting,num_ebikes_available,station_status,last_reported,legacy_id,eightd_has_available_keys,num_docks_disabled,num_bikes_disabled,num_bikes_available,is_installed,is_returning,num_docks_available,eightd_active_station_services,valet,starttime,timestamp,demand,supply
701,3609,1,0,active,1604636036,3609,False,0,0,23,1,1,0,,,1604638805,1604638805,0,0
702,3610,1,2,active,1604637519,3610,False,1,0,25,1,1,1,,,1604638805,1604638805,0,0
703,3611,1,0,active,1604637393,3611,False,0,0,9,1,1,22,,,1604638805,1604638805,0,0
704,3612,1,0,active,1604631628,3612,False,0,0,7,1,1,8,,,1604638805,1604638805,0,0
705,3613,1,2,active,1604635999,3613,False,0,1,2,1,1,24,,,1604638805,1604638805,0,0
706,3614,1,0,active,1604638464,3614,False,0,0,1,1,1,7,,,1604638805,1604638805,1,0
707,3615,1,1,active,1604636105,3615,False,0,0,2,1,1,19,,,1604638805,1604638805,0,0
708,3616,1,1,active,1604636047,3616,False,0,0,6,1,1,19,,,1604638805,1604638805,0,1
709,3617,1,4,active,1604638467,3617,False,0,1,9,1,1,3,,,1604638805,1604638805,0,1
710,3618,1,3,active,1604635970,3618,False,0,0,13,1,1,20,,,1604638805,1604638805,0,0
711,3619,1,5,active,1604636898,3619,False,0,0,15,1,1,4,,,1604638805,1604638805,0,0
712,3620,1,0,active,1604635977,3620,False,0,0,0,1,1,23,,,1604638805,1604638805,0,0
713,3621,1,2,active,1604635869,3621,False,0,1,16,1,1,2,,,1604638805,1604638805,2,0
714,3622,1,2,active,1604635980,3622,False,0,1,10,1,1,12,,,1604638805,1604638805,0,2
715,3623,1,1,active,1604636053,3623,False,0,2,2,1,1,35,,,1604638805,1604638805,0,0
716,3628,1,0,active,1604637760,3628,False,0,1,16,1,1,14,,,1604638805,1604638805,0,0
717,3629,1,1,active,1604637287,3629,False,0,1,19,1,1,13,,,1604638805,1604638805,0,1
718,3630,1,1,active,1604637842,3630,False,0,0,23,1,1,10,,,1604638805,1604638805,1,0
719,3635,1,2,active,1604637976,3635,False,0,3,13,1,1,27,,,1604638805,1604638805,4,0
720,3637,1,1,active,1604638430,3637,False,0,1,13,1,1,17,,,1604638805,1604638805,0,0
721,3638,1,0,active,1604636005,3638,False,0,1,9,1,1,8,,,1604638805,1604638805,0,0
722,3639,1,0,active,1604635952,3639,False,0,1,15,1,1,14,,,1604638805,1604638805,0,0
723,3640,0,0,active,1604636242,3640,False,0,0,3,1,0,15,,,1604638805,1604638805,0,0
724,3641,1,0,active,1604635928,3641,False,0,2,1,1,1,51,,,1604638805,1604638805,2,0
725,3646,1,2,active,1604638624,3646,False,10,0,10,1,1,6,,,1604638805,1604638805,0,0
726,3647,1,1,active,1604637437,3647,False,0,0,22,1,1,1,,,1604638805,1604638805,0,0
727,3648,1,0,active,1604636759,3648,False,0,1,4,1,1,20,,,1604638805,1604638805,0,0
728,3649,1,0,active,1604637549,3649,False,0,0,0,1,1,30,,,1604638805,1604638805,0,0
729,3654,1,0,active,1604636145,3654,False,0,1,0,1,1,34,,,1604638805,1604638805,0,0
730,3656,1,0,active,1604637565,3656,False,0,0,45,1,1,1,,,1604638805,1604638805,0,0
731,3658,1,0,active,1604636432,3658,False,0,0,8,1,1,19,,,1604638805,1604638805,1,0
732,3661,1,6,active,1604635906,3661,False,0,1,18,1,1,0,,,1604638805,1604638805,0,0
733,3664,1,0,active,1604637615,3664,False,0,1,0,1,1,29,,,1604638805,1604638805,1,0
734,3668,1,0,active,1604635924,3668,False,0,1,25,1,1,0,,,1604638805,1604638805,0,0
735,3671,1,0,active,1604638444,3671,False,0,1,9,1,1,27,,,1604638805,1604638805,1,0
