,legacy_id,last_reported,num_docks_available,station_status,num_bikes_disabled,station_id,is_installed,num_docks_disabled,is_returning,num_bikes_available,eightd_has_available_keys,num_ebikes_available,is_renting,eightd_active_station_services,valet,starttime,timestamp,demand,supply
813,3783,1604255918,25,active,0,3783,1,0,1,40,False,0,1,,,1604257195,1604257195,40,40
814,3785,1604254597,18,active,0,3785,1,0,1,19,False,1,1,,,1604257195,1604257195,19,19
815,3786,1604254958,5,active,2,3786,1,0,1,42,False,5,1,,,1604257195,1604257195,42,42
816,3787,1604251974,17,active,0,3787,1,0,1,5,False,3,1,,,1604257195,1604257195,5,5
817,3789,1604251863,28,active,0,3789,1,0,1,3,False,0,1,,,1604257195,1604257195,3,3
818,3790,1604255294,34,active,0,3790,1,0,1,3,False,0,1,,,1604257195,1604257195,3,3
819,3791,1604216626,0,active,0,3791,1,0,1,32,False,0,1,,,1604257195,1604257195,32,32
820,3792,1604256345,26,active,0,3792,1,0,1,4,False,0,1,,,1604257195,1604257195,4,4
821,3795,1604252016,0,active,1,3795,1,0,1,18,False,3,1,,,1604257195,1604257195,18,18
822,3798,1604256460,39,active,0,3798,1,0,1,16,False,5,1,,,1604257195,1604257195,16,16
823,3799,1604257131,52,active,0,3799,1,0,1,15,False,1,1,,,1604257195,1604257195,15,15
824,3803,1604252344,7,active,0,3803,1,0,1,20,False,0,1,,,1604257195,1604257195,20,20
825,3804,1604254306,11,active,0,3804,1,0,1,13,False,1,1,,,1604257195,1604257195,13,13
826,3808,1604257023,15,active,0,3808,1,0,1,4,False,1,1,,,1604257195,1604257195,4,4
827,3809,1604254985,29,active,0,3809,1,0,1,24,False,4,1,,,1604257195,1604257195,24,24
828,3811,1604253020,3,active,0,3811,1,0,1,16,False,1,1,,,1604257195,1604257195,16,16
829,3812,1604256174,24,active,1,3812,1,0,1,24,False,0,1,,,1604257195,1604257195,24,24
830,3813,1604256929,38,active,0,3813,1,0,1,11,True,0,1,,,1604257195,1604257195,11,11
831,3814,1604256320,16,active,3,3814,1,0,1,4,False,4,1,,,1604257195,1604257195,4,4
832,3815,1604256507,37,active,0,3815,1,0,1,4,False,1,1,,,1604257195,1604257195,4,4
833,3816,1604248495,15,active,0,3816,1,0,1,9,False,0,1,,,1604257195,1604257195,9,9
834,3817,1604256141,1,active,0,3817,1,0,1,17,False,2,1,,,1604257195,1604257195,17,17
835,3818,1604252254,29,active,1,3818,1,0,1,10,False,0,1,,,1604257195,1604257195,10,10
836,3819,1604250912,8,active,0,3819,1,0,1,12,False,0,1,,,1604257195,1604257195,12,12
837,3820,1604255605,16,active,0,3820,1,0,1,3,False,0,1,,,1604257195,1604257195,3,3
838,3821,1604256989,22,active,0,3821,1,0,1,3,False,0,1,,,1604257195,1604257195,3,3
839,3822,1604250249,18,active,0,3822,1,0,1,2,False,1,1,,,1604257195,1604257195,2,2
840,3823,1604252577,13,active,0,3823,1,0,1,17,False,5,1,,,1604257195,1604257195,17,17
841,3824,1604250915,20,active,0,3824,1,0,1,3,False,0,1,,,1604257195,1604257195,3,3
842,3825,1604225919,22,active,0,3825,1,0,1,7,False,3,1,,,1604257195,1604257195,7,7
843,3826,1604235270,18,active,0,3826,1,0,1,0,False,0,1,,,1604257195,1604257195,0,0
844,3827,1604255107,11,active,1,3827,1,0,1,8,False,3,1,,,1604257195,1604257195,8,8
845,3828,1604249579,20,active,0,3828,1,0,1,2,False,1,1,,,1604257195,1604257195,2,2
846,3829,1604251484,20,active,0,3829,1,0,1,4,False,2,1,,,1604257195,1604257195,4,4
847,3830,1604253184,21,active,0,3830,1,0,1,1,False,1,1,,,1604257195,1604257195,1,1
