,eightd_active_station_services,eightd_has_available_keys,is_installed,is_renting,is_returning,last_reported,legacy_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,station_status,valet,starttime,timestamp,demand,supply
0,,False,1,1,1,1605833528,72,5,2,48,0,0,72,active,,1605834005,1605834005,1,0
1,,False,1,1,1,1605833726,79,25,2,6,0,0,79,active,,1605834005,1605834005,1,0
2,,False,1,1,1,1605833781,82,16,2,9,0,0,82,active,,1605834005,1605834005,2,0
3,,False,1,1,1,1605833982,83,47,5,9,0,0,83,active,,1605834005,1605834005,0,6
4,,False,0,0,0,86400,116,0,0,0,0,0,116,out_of_service,,1605834005,1605834005,0,0
5,,False,1,1,1,1605828951,119,53,0,0,0,0,119,active,,1605834005,1605834005,0,0
6,,False,1,1,1,1605833983,120,3,1,15,0,1,120,active,,1605834005,1605834005,0,1
7,,False,1,1,1,1605833898,127,26,1,4,0,4,127,active,,1605834005,1605834005,2,0
8,,False,1,1,1,1605833629,128,51,3,2,0,1,128,active,,1605834005,1605834005,0,0
9,,False,1,1,1,1605832951,143,2,1,21,0,0,143,active,,1605834005,1605834005,0,1
10,,False,1,1,1,1605833663,144,52,2,4,0,0,144,active,,1605834005,1605834005,1,0
11,,False,1,1,1,1605831737,146,37,2,0,0,0,146,active,,1605834005,1605834005,0,0
12,,False,1,1,1,1605833813,150,29,0,26,0,2,150,active,,1605834005,1605834005,0,0
13,,True,1,1,1,1605833725,151,21,4,8,0,1,151,active,,1605834005,1605834005,0,2
14,,False,1,1,1,1605833485,152,46,0,3,0,0,152,active,,1605834005,1605834005,2,0
15,,False,1,1,1,1605833866,157,20,1,2,0,4,157,active,,1605834005,1605834005,2,0
16,,False,1,0,0,1605833434,161,33,2,0,0,4,161,active,,1605834005,1605834005,0,1
17,,False,1,1,1,1605833790,164,23,2,22,0,0,164,active,,1605834005,1605834005,0,2
18,,False,1,1,1,1605833791,168,38,0,9,0,3,168,active,,1605834005,1605834005,0,2
19,,False,1,1,1,1605833896,173,4,0,66,0,2,173,active,,1605834005,1605834005,1,0
20,,False,1,1,1,1605833347,174,12,1,22,0,0,174,active,,1605834005,1605834005,2,0
21,,False,1,1,1,1605833817,212,37,2,21,0,1,212,active,,1605834005,1605834005,0,2
22,,False,1,1,1,1605833337,216,1,0,36,0,0,216,active,,1605834005,1605834005,0,0
23,,False,1,1,1,1605832077,217,32,2,5,0,3,217,active,,1605834005,1605834005,0,0
24,,False,1,1,1,1605833687,223,30,2,1,0,3,223,active,,1605834005,1605834005,0,1
25,,True,1,1,1,1605832977,224,10,4,16,0,0,224,active,,1605834005,1605834005,1,0
26,,False,1,1,1,1605833729,228,14,1,38,2,0,228,active,,1605834005,1605834005,0,1
27,,False,1,1,1,1605833626,229,14,2,7,0,4,229,active,,1605834005,1605834005,0,6
28,,False,1,1,1,1605833839,236,35,6,10,0,3,236,active,,1605834005,1605834005,0,2
29,,False,1,1,1,1605833921,237,24,2,13,0,4,237,active,,1605834005,1605834005,7,0
30,,False,1,1,1,1605833689,238,24,4,3,0,0,238,active,,1605834005,1605834005,3,0
31,,False,1,1,1,1605833040,239,3,2,26,0,0,239,active,,1605834005,1605834005,2,0
32,,False,1,1,1,1605832717,241,5,1,17,0,0,241,active,,1605834005,1605834005,0,1
33,,False,1,1,1,1605833702,242,35,1,10,0,0,242,active,,1605834005,1605834005,0,0
34,,False,1,1,1,1605833936,244,6,3,22,0,3,244,active,,1605834005,1605834005,0,2
35,,True,1,1,1,1605832914,245,13,2,8,0,1,245,active,,1605834005,1605834005,0,1
36,,False,1,1,1,1605833871,247,51,3,1,0,3,247,active,,1605834005,1605834005,1,0
37,,False,1,1,1,1605832668,248,93,1,5,0,0,248,active,,1605834005,1605834005,0,1
38,,False,1,1,1,1605831651,249,21,3,3,0,2,249,active,,1605834005,1605834005,1,0
39,,False,1,1,1,1605833697,250,27,1,12,0,0,250,active,,1605834005,1605834005,1,0
40,,False,1,1,1,1605833745,251,25,1,1,0,0,251,active,,1605834005,1605834005,0,6
41,,False,1,1,1,1605833923,252,26,0,7,0,0,252,active,,1605834005,1605834005,1,0
42,,False,1,1,1,1605833992,254,41,1,5,0,2,254,active,,1605834005,1605834005,0,1
43,,False,1,1,1,1605833573,257,15,2,22,0,0,257,active,,1605834005,1605834005,4,0
44,,False,1,1,1,1605833624,258,2,1,20,0,0,258,active,,1605834005,1605834005,0,0
45,,False,1,1,1,1605833845,259,35,2,2,0,0,259,active,,1605834005,1605834005,0,0
46,,False,1,1,1,1605832877,260,23,1,9,0,0,260,active,,1605834005,1605834005,0,0
47,,False,1,1,1,1605832890,261,17,0,24,0,3,261,active,,1605834005,1605834005,2,0
48,,False,1,1,1,1605833954,262,2,2,20,0,1,262,active,,1605834005,1605834005,3,0
49,,False,1,1,1,1605832472,264,23,1,3,0,0,264,active,,1605834005,1605834005,0,1
50,,False,1,1,1,1605833185,265,33,1,1,0,3,265,active,,1605834005,1605834005,0,0
51,,False,1,0,0,1605814768,267,0,0,70,0,0,267,active,,1605834005,1605834005,0,0
52,,False,1,1,1,1605833817,268,15,4,8,0,0,268,active,,1605834005,1605834005,3,0
53,,False,1,1,1,1605833765,270,9,0,14,0,2,270,active,,1605834005,1605834005,1,0
54,,False,1,1,1,1605833709,274,15,0,16,0,0,274,active,,1605834005,1605834005,0,1
55,,False,1,1,1,1605833337,275,6,0,13,0,2,275,active,,1605834005,1605834005,1,0
56,,False,1,1,1,1605833465,276,22,1,2,0,0,276,active,,1605834005,1605834005,0,1
57,,False,1,1,1,1605831183,278,4,0,15,0,3,278,active,,1605834005,1605834005,1,0
58,,False,0,0,0,86400,280,0,0,0,0,0,280,out_of_service,,1605834005,1605834005,0,0
59,,True,1,1,1,1605833812,281,14,9,43,0,0,281,active,,1605834005,1605834005,3,0
60,,False,1,1,1,1605833247,282,11,2,14,0,1,282,active,,1605834005,1605834005,1,0
61,,False,1,1,1,1605833877,284,36,4,11,0,2,284,active,,1605834005,1605834005,5,0
62,,True,1,1,1,1605833920,285,37,5,11,0,0,285,active,,1605834005,1605834005,0,6
63,,False,1,1,1,1605833121,289,0,1,18,0,0,289,active,,1605834005,1605834005,0,0
64,,False,1,1,1,1605833985,291,13,1,6,0,1,291,active,,1605834005,1605834005,1,0
65,,False,1,1,1,1605833920,293,46,5,3,0,0,293,active,,1605834005,1605834005,0,3
66,,False,1,1,1,1605833799,295,8,1,15,0,1,295,active,,1605834005,1605834005,0,1
67,,False,1,1,1,1605833973,297,62,2,13,0,7,297,active,,1605834005,1605834005,1,0
68,,False,1,1,1,1605833806,298,15,1,19,0,0,298,active,,1605834005,1605834005,2,0
69,,False,1,1,1,1605833965,301,28,1,29,0,2,301,active,,1605834005,1605834005,5,0
70,,False,1,1,1,1605833949,302,14,2,21,0,3,302,active,,1605834005,1605834005,3,0
71,,False,1,1,1,1605833914,303,60,2,5,0,4,303,active,,1605834005,1605834005,0,0
72,,False,1,1,1,1605833330,304,4,3,26,0,0,304,active,,1605834005,1605834005,0,0
73,,False,1,1,1,1605833907,305,12,4,17,0,1,305,active,,1605834005,1605834005,0,8
74,,False,1,1,1,1605833863,307,5,2,23,0,0,307,active,,1605834005,1605834005,2,0
75,,False,1,1,1,1605833581,308,33,6,9,0,0,308,active,,1605834005,1605834005,4,0
76,,False,1,1,1,1605833234,309,17,0,24,0,0,309,active,,1605834005,1605834005,2,0
77,,False,1,1,1,1605833002,310,61,0,5,0,2,310,active,,1605834005,1605834005,2,0
78,,False,1,1,1,1605833930,311,21,6,4,0,0,311,active,,1605834005,1605834005,0,2
79,,False,1,1,1,1605833552,312,27,1,5,0,1,312,active,,1605834005,1605834005,5,0
80,,False,1,1,1,1605833409,313,39,0,16,0,0,313,active,,1605834005,1605834005,0,0
81,,False,1,1,1,1605832199,315,10,4,15,0,0,315,active,,1605834005,1605834005,0,0
82,,False,1,1,1,1605833551,316,8,2,33,0,0,316,active,,1605834005,1605834005,2,0
83,,False,0,0,0,86400,317,0,0,0,0,0,317,out_of_service,,1605834005,1605834005,0,0
